1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001374,-0.000818,-0.000184,-0.000904,-0.000586,-0.000378,-0.000012,-0.000049,0.028058,0.015285,0.015143,0.015192,0.013773,0.010515,0.004145,0.010036
-0.002116,0.001918,0.001291,0.000605,0.000165,0.000105,0.000011,-0.000110,0.032894,0.022592,0.021734,0.015929,0.011898,0.014099,0.006383,0.007462
-0.000723,0.001425,0.000915,0.001266,0.000382,0.000673,0.000018,-0.000171,0.032173,0.016943,0.017853,0.018062,0.018656,0.015316,0.006641,0.008099
0.003581,-0.001371,-0.000372,-0.000308,-0.000037,0.000282,0.000009,0.000092,0.033837,0.020737,0.020042,0.014399,0.013089,0.015795,0.006427,0.007176
-0.000796,-0.000289,-0.000910,-0.001581,-0.000347,-0.000609,-0.000037,0.000171,0.029609,0.017680,0.019776,0.018661,0.013012,0.015963,0.007844,0.011287
-0.001718,0.000451,0.000014,0.000405,-0.000328,0.000058,-0.000018,0.000055,0.030971,0.014128,0.020995,0.014646,0.014748,0.012349,0.007724,0.006905
-0.004069,-0.000737,-0.000110,-0.000145,-0.000042,0.000276,0.000015,0.000159,0.026269,0.017340,0.012173,0.016682,0.015617,0.012495,0.008623,0.011388
-0.001736,0.000136,0.000019,0.000038,0.000271,0.000632,0.000100,0.000140,0.028399,0.022975,0.017735,0.019436,0.020601,0.016734,0.009741,0.011304
-0.005570,-0.001518,0.000037,-0.000274,0.000062,0.000345,-0.000008,0.000165,0.032121,0.019064,0.014381,0.016754,0.014022,0.013525,0.009391,0.011896
0.002966,0.001434,-0.000184,0.000851,0.000084,0.000052,-0.000002,-0.000464,0.031725,0.019733,0.020983,0.016283,0.015059,0.012735,0.009191,0.011904
-0.005932,-0.002096,-0.000828,-0.000500,-0.000042,-0.000337,-0.000031,-0.000159,0.027704,0.024390,0.019779,0.015695,0.018683,0.015454,0.007987,0.009804
0.001085,0.000898,-0.000378,0.000058,-0.000017,0.000067,0.000013,-0.000098,0.030205,0.019281,0.021979,0.015650,0.015628,0.011841,0.010244,0.012414
-0.005498,0.000584,0.000279,0.000652,0.000237,0.000033,-0.000016,0.000562,0.034013,0.016869,0.017982,0.019043,0.016673,0.013634,0.007949,0.011342
-0.001266,0.000605,0.000210,-0.000010,0.000204,-0.000161,-0.000005,0.000543,0.029707,0.017857,0.022167,0.016623,0.020452,0.016805,0.008130,0.012326
0.000235,-0.001579,0.000148,-0.000304,0.000082,0.000181,-0.000010,-0.000140,0.030242,0.018973,0.021044,0.016340,0.019353,0.013888,0.008238,0.010892
-0.001700,0.001130,0.000053,-0.000602,-0.000259,0.000169,0.000043,-0.000067,0.029686,0.020704,0.017963,0.019268,0.015825,0.018398,0.007553,0.007739
-0.003111,-0.000106,-0.000817,0.000612,0.000074,0.000271,0.000016,-0.000006,0.028992,0.019977,0.023541,0.019500,0.015169,0.016806,0.008509,0.010822
0.003255,0.001456,0.000014,0.000335,0.000245,0.000083,0.000016,0.000006,0.032611,0.023085,0.021066,0.017874,0.021584,0.017396,0.006485,0.010752
0.001610,-0.000518,0.000343,-0.000386,-0.000009,-0.000242,0.000015,0.000281,0.028782,0.025762,0.020630,0.020599,0.019282,0.016789,0.007060,0.011845
0.000922,-0.000288,0.000162,0.000610,-0.000184,-0.000148,0.000031,0.000378,0.033359,0.018751,0.023035,0.020122,0.014610,0.013311,0.008793,0.010868
0.001754,0.000873,-0.000311,0.000675,0.000008,0.000181,0.000073,-0.000500,0.035366,0.017378,0.021019,0.016193,0.013825,0.015649,0.006914,0.012250
0.002948,0.001050,0.000269,0.000402,0.000349,0.000271,0.000045,0.000446,0.029949,0.022040,0.020691,0.019322,0.015666,0.016588,0.007009,0.010121
-0.002478,-0.001122,-0.000021,-0.000426,-0.000299,-0.000090,0.000004,-0.000037,0.026079,0.018866,0.015311,0.019902,0.015865,0.017074,0.006515,0.008647
-0.001447,-0.001449,0.000109,-0.000045,0.000307,0.000153,0.000026,0.000024,0.029431,0.024495,0.017730,0.013717,0.020231,0.013506,0.007176,0.007910
0.000597,-0.001129,0.000735,-0.000120,-0.000052,0.000265,0.000010,-0.000092,0.025799,0.021294,0.021569,0.014992,0.019204,0.016805,0.008029,0.010092
0.005715,-0.001424,-0.000408,-0.000202,0.000497,0.000097,0.000020,0.000049,0.029603,0.026225,0.020872,0.020679,0.020974,0.019311,0.007626,0.011422
-0.003780,-0.000461,-0.000077,-0.000097,-0.000210,-0.000144,-0.000015,0.000555,0.026269,0.024026,0.021384,0.017973,0.014482,0.018017,0.006397,0.012107
0.002025,0.001025,0.000011,0.000506,-0.000061,0.000080,-0.000022,0.000421,0.032710,0.024105,0.014671,0.018335,0.015160,0.015929,0.007622,0.011398
0.000778,0.000115,0.000165,-0.000056,-0.000081,-0.000427,-0.000040,-0.000159,0.030972,0.022451,0.020646,0.019621,0.021653,0.017288,0.006263,0.011554
-0.001194,-0.001366,0.000246,0.000117,0.000125,0.000022,0.000028,0.000220,0.027538,0.024424,0.021971,0.019762,0.015052,0.016017,0.007000,0.011184
0.001519,-0.003424,0.000154,-0.000180,-0.000242,-0.000507,-0.000033,-0.000073,0.033725,0.024208,0.016755,0.014972,0.017762,0.018096,0.008389,0.011355
-0.002803,-0.001251,0.000071,0.000209,-0.000049,0.000017,-0.000011,0.000043,0.028690,0.025515,0.016629,0.018870,0.016020,0.012633,0.006929,0.011169
