L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
36.5305,29.0026,104.079,0.362016,0.797341,0.755197,94.184,0.0194638,10.3738,10.0353,85.5071,0.336188,0.378714,0.368977,18.1401,0.00933007,1.92575,1.085,9.75921,1.73569
36.5305,29.0026,104.078,0.514194,0.798657,0.75659,94.1471,0.025403,10.3738,10.0353,85.5065,0.488366,0.38003,0.37037,18.1033,0.0131915,1.92632,1.08403,9.77487,1.73322
36.5305,29.0026,104.079,0.548707,0.803071,0.7608,94.6597,0.0255117,10.3738,10.0353,85.5073,0.522879,0.384444,0.374581,18.6159,0.0138431,1.91588,1.08381,9.51176,1.73264
36.5305,29.0026,104.079,0.53523,0.803183,0.760881,94.4948,0.0253743,10.3738,10.0353,85.5075,0.509402,0.384556,0.374662,18.451,0.0134752,1.91917,1.08389,9.59344,1.73286
36.5305,29.0026,104.078,0.612011,0.799932,0.758024,94.0259,0.027821,10.3738,10.0353,85.506,0.586183,0.381305,0.371804,17.9821,0.0154562,1.92865,1.08341,9.83544,1.73163
36.5305,29.0026,104.078,0.590963,0.79945,0.757657,93.9414,0.0264426,10.3738,10.0353,85.5058,0.565135,0.380823,0.371438,17.8976,0.0149836,1.93041,1.08355,9.88071,1.73198
36.5305,29.0026,104.077,0.638354,0.798996,0.757267,93.8523,0.0275127,10.3738,10.0353,85.5056,0.612526,0.380369,0.371047,17.8085,0.0161565,1.9322,1.08325,9.92791,1.73121
36.5305,29.0026,104.078,0.725462,0.799871,0.75805,94.024,0.0316726,10.3738,10.0353,85.5057,0.699634,0.381244,0.37183,17.9802,0.0183466,1.92861,1.08269,9.83494,1.7298
36.5305,29.0026,104.078,0.686016,0.800996,0.759085,94.0738,0.0288469,10.3738,10.0353,85.5063,0.660188,0.382369,0.372865,18.03,0.0170263,1.92763,1.08294,9.80848,1.73043
36.5305,29.0026,104.076,0.674699,0.798184,0.756657,93.7004,0.0291335,10.3738,10.0353,85.5046,0.64887,0.379557,0.370438,17.6566,0.0167555,1.93528,1.08302,10.0102,1.73064
36.5305,29.0026,104.077,0.645138,0.797963,0.756495,93.6244,0.029038,10.3738,10.0353,85.5047,0.61931,0.379336,0.370275,17.5806,0.0162187,1.93683,1.08321,10.0522,1.73112
36.5305,29.0026,104.077,0.716378,0.798848,0.757253,93.7635,0.0302286,10.3738,10.0353,85.5053,0.69055,0.380221,0.371034,17.7196,0.0177705,1.93395,1.08275,9.97483,1.72995
36.5305,29.0026,104.076,0.633838,0.796916,0.755598,93.3573,0.0283167,10.3738,10.0353,85.5042,0.60801,0.378289,0.369378,17.3135,0.015915,1.94234,1.08328,10.202,1.73131
36.5305,29.0026,104.077,0.663007,0.797821,0.756354,93.466,0.0301398,10.3738,10.0353,85.5047,0.637178,0.379194,0.370134,17.4222,0.0169222,1.94004,1.08309,10.1395,1.73083
36.5305,29.0026,104.077,0.653838,0.799661,0.757953,93.9219,0.0293683,10.3738,10.0353,85.5055,0.62801,0.381034,0.371734,17.8781,0.0164235,1.93073,1.08315,9.89,1.73096
36.5305,29.0026,104.076,0.631077,0.79693,0.755623,93.3573,0.0292478,10.3738,10.0353,85.5043,0.605249,0.378303,0.369403,17.3135,0.0161768,1.94232,1.0833,10.2018,1.73135
36.5305,29.0026,104.076,0.680901,0.797007,0.755677,93.4767,0.0301052,10.3738,10.0353,85.5042,0.655073,0.37838,0.369457,17.4328,0.0169978,1.93986,1.08298,10.1343,1.73054
36.5305,29.0026,104.076,0.58349,0.797753,0.756318,93.6354,0.0287611,10.3738,10.0353,85.5045,0.557661,0.379126,0.370098,17.5915,0.0152379,1.93662,1.0836,10.0469,1.73212
36.5305,29.0026,104.076,0.613067,0.797201,0.755849,93.5721,0.0293016,10.3738,10.0353,85.5045,0.587239,0.378574,0.369629,17.5283,0.0157348,1.93792,1.08341,10.0819,1.73164
36.5305,29.0026,104.076,0.675286,0.797391,0.756012,93.6242,0.029659,10.3738,10.0353,85.5046,0.649458,0.378764,0.369792,17.5804,0.0167546,1.93684,1.08302,10.0525,1.73063
36.5305,29.0026,104.076,0.589693,0.797218,0.755918,93.5373,0.0268316,10.3738,10.0353,85.5043,0.563865,0.378591,0.369698,17.4934,0.0146428,1.93868,1.08356,10.1017,1.73202
36.5305,29.0026,104.076,0.606283,0.797088,0.75571,93.5179,0.028519,10.3738,10.0353,85.5045,0.580455,0.378461,0.36949,17.4741,0.0153737,1.93905,1.08346,10.1123,1.73175
36.5305,29.0026,104.077,0.579005,0.798251,0.756776,93.635,0.0270359,10.3738,10.0353,85.5049,0.553176,0.379624,0.370556,17.5912,0.0146759,1.93665,1.08363,10.0469,1.73219
36.5305,29.0026,104.077,0.600979,0.797492,0.756063,93.6437,0.0279282,10.3738,10.0353,85.5048,0.575151,0.378866,0.369844,17.5999,0.0152474,1.93648,1.08349,10.0426,1.73183
36.5305,29.0026,104.076,0.660128,0.796684,0.755413,93.4506,0.0295193,10.3738,10.0353,85.5043,0.6343,0.378057,0.369193,17.4068,0.0167941,1.94041,1.08312,10.1493,1.73088
36.5305,29.0026,104.077,0.651738,0.79775,0.756303,93.7394,0.030585,10.3738,10.0353,85.5048,0.62591,0.379123,0.370084,17.6956,0.0169893,1.93447,1.08317,9.98938,1.73101
36.5305,29.0026,104.076,0.5735,0.79669,0.755363,93.4506,0.0278234,10.3738,10.0353,85.5044,0.547672,0.378063,0.369144,17.4068,0.0148001,1.94045,1.08367,10.1505,1.73229
36.5305,29.0026,104.076,0.632147,0.7972,0.755808,93.5569,0.0279714,10.3738,10.0353,85.5045,0.606319,0.378573,0.369588,17.5131,0.0157518,1.93826,1.08329,10.0903,1.73133
36.5305,29.0026,104.077,0.574463,0.797929,0.756452,93.557,0.0286496,10.3738,10.0353,85.5048,0.548635,0.379302,0.370232,17.5132,0.0150351,1.93821,1.08366,10.09,1.73227
36.5305,29.0026,104.076,0.604693,0.795813,0.754643,93.3873,0.028268,10.3738,10.0353,85.5041,0.578865,0.377186,0.368423,17.3435,0.0151353,1.94176,1.08347,10.1866,1.73178
36.5305,29.0026,104.077,0.678792,0.797849,0.75641,93.7065,0.0297138,10.3738,10.0353,85.5048,0.652964,0.379222,0.37019,17.6626,0.0173237,1.93516,1.08299,10.0069,1.73057
36.5305,29.0026,104.076,0.579805,0.797187,0.755818,93.472,0.0278803,10.3738,10.0353,85.5046,0.553977,0.37856,0.369598,17.4282,0.0147819,1.93999,1.08362,10.138,1.73218
