L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
115.706,100.869,136.384,0.0430221,2.81276,2.67972,104.984,0.000770077,17.1131,16.4779,91.8366,0.000137167,1.28075,1.23498,28.7827,4.71416e-06,1.66817,0.522437,5.89235,1.47034
115.706,100.869,136.383,0.0430221,2.82112,2.68823,104.936,0.000770077,17.1131,16.4779,91.8358,0.000137167,1.28912,1.24349,28.7345,4.71416e-06,1.66864,0.522439,5.89825,1.47035
115.706,100.869,136.384,0.0430221,2.83514,2.70163,105.606,0.000770077,17.1131,16.4779,91.8369,0.000137167,1.30313,1.25689,29.4042,4.71416e-06,1.65818,0.522437,5.76962,1.47034
115.706,100.869,136.385,0.0430221,2.83596,2.70225,105.39,0.000770077,17.1131,16.4779,91.8372,0.000137167,1.30396,1.25751,29.1886,4.71416e-06,1.66138,0.522437,5.80854,1.47033
115.706,100.869,136.383,0.0430221,2.83149,2.69916,104.778,0.000770077,17.1131,16.4779,91.8351,0.000137167,1.29948,1.25442,28.5765,4.71416e-06,1.67071,0.52244,5.92416,1.47036
115.706,100.869,136.382,0.0430221,2.83215,2.70026,104.667,0.000770077,17.1131,16.4779,91.8349,0.000137167,1.30014,1.25552,28.4661,4.71416e-06,1.67236,0.52244,5.94491,1.47036
115.706,100.869,136.382,0.0430221,2.83196,2.70027,104.551,0.000770077,17.1131,16.4779,91.8345,0.000137167,1.29995,1.25553,28.35,4.71416e-06,1.67412,0.52244,5.96727,1.47036
115.706,100.869,136.382,0.0430221,2.83398,2.70201,104.775,0.000770077,17.1131,16.4779,91.8347,0.000137167,1.30198,1.25727,28.574,4.71416e-06,1.67067,0.52244,5.92361,1.47036
115.706,100.869,136.383,0.0430221,2.83657,2.70429,104.841,0.000770077,17.1131,16.4779,91.8355,0.000137167,1.30456,1.25955,28.6392,4.71416e-06,1.66961,0.522439,5.91031,1.47035
115.706,100.869,136.381,0.0430221,2.83334,2.70244,104.353,0.000770077,17.1131,16.4779,91.8333,0.000137167,1.30134,1.2577,28.1521,4.71416e-06,1.67708,0.522442,6.00504,1.47038
115.706,100.869,136.381,0.0430221,2.83364,2.70295,104.254,0.000770077,17.1131,16.4779,91.8333,0.000137167,1.30164,1.25821,28.0527,4.71416e-06,1.67858,0.522442,6.02437,1.47038
115.706,100.869,136.382,0.0430221,2.8347,2.70355,104.436,0.000770077,17.1131,16.4779,91.8341,0.000137167,1.30269,1.25881,28.2345,4.71416e-06,1.67579,0.522441,5.98848,1.47037
115.706,100.869,136.38,0.0430221,2.83285,2.70264,103.906,0.000770077,17.1131,16.4779,91.8327,0.000137167,1.30084,1.2579,27.7043,4.71416e-06,1.68394,0.522443,6.09395,1.47039
115.706,100.869,136.381,0.0430221,2.83364,2.70291,104.047,0.000770077,17.1131,16.4779,91.8334,0.000137167,1.30163,1.25817,27.846,4.71416e-06,1.68175,0.522442,6.06534,1.47038
115.706,100.869,136.382,0.0430221,2.83626,2.70473,104.643,0.000770077,17.1131,16.4779,91.8344,0.000137167,1.30426,1.25999,28.4413,4.71416e-06,1.6726,0.522441,5.94801,1.47037
115.706,100.869,136.38,0.0430221,2.83357,2.70341,103.906,0.000770077,17.1131,16.4779,91.8327,0.000137167,1.30156,1.25867,27.7043,4.71416e-06,1.68392,0.522443,6.09365,1.47039
115.706,100.869,136.381,0.0430221,2.83444,2.70384,104.061,0.000770077,17.1131,16.4779,91.8331,0.000137167,1.30244,1.2591,27.8599,4.71416e-06,1.68151,0.522443,6.06221,1.47038
115.706,100.869,136.381,0.0430221,2.83345,2.70297,104.09,0.000770077,17.1131,16.4779,91.8331,0.000137167,1.30144,1.25823,27.8885,4.71416e-06,1.6811,0.522443,6.0569,1.47038
115.706,100.869,136.38,0.0430221,2.83279,2.70277,103.945,0.000770077,17.1131,16.4779,91.8327,0.000137167,1.30079,1.25803,27.7439,4.71416e-06,1.68333,0.522443,6.08598,1.47039
115.706,100.869,136.381,0.0430221,2.83467,2.704,104.351,0.000770077,17.1131,16.4779,91.8333,0.000137167,1.30266,1.25926,28.1497,4.71416e-06,1.67707,0.522442,6.00495,1.47038
115.706,100.869,136.381,0.0430221,2.83576,2.70531,104.153,0.000770077,17.1131,16.4779,91.8331,0.000137167,1.30375,1.26057,27.9512,4.71416e-06,1.68007,0.522443,6.04352,1.47038
115.706,100.869,136.381,0.0430221,2.83416,2.70359,104.087,0.000770077,17.1131,16.4779,91.8332,0.000137167,1.30215,1.25885,27.8855,4.71416e-06,1.68112,0.522442,6.05722,1.47038
115.706,100.869,136.381,0.0430221,2.83544,2.70489,104.308,0.000770077,17.1131,16.4779,91.8335,0.000137167,1.30343,1.26015,28.1068,4.71416e-06,1.6777,0.522442,6.013,1.47038
115.706,100.869,136.381,0.0430221,2.83374,2.70338,104.263,0.000770077,17.1131,16.4779,91.8331,0.000137167,1.30173,1.25864,28.0616,4.71416e-06,1.67844,0.522443,6.02252,1.47038
115.706,100.869,136.38,0.0430221,2.83239,2.70242,103.849,0.000770077,17.1131,16.4779,91.8327,0.000137167,1.30038,1.25768,27.6475,4.71416e-06,1.68483,0.522443,6.10555,1.47039
115.706,100.869,136.381,0.0430221,2.83592,2.70525,104.456,0.000770077,17.1131,16.4779,91.8333,0.000137167,1.30392,1.26051,28.2544,4.71416e-06,1.67544,0.522442,5.98405,1.47038
115.706,100.869,136.381,0.0430221,2.83245,2.70197,104.112,0.000770077,17.1131,16.4779,91.8334,0.000137167,1.30044,1.25723,27.9111,4.71416e-06,1.68078,0.522442,6.0528,1.47038
115.706,100.869,136.38,0.0430221,2.83303,2.70286,104.167,0.000770077,17.1131,16.4779,91.8327,0.000137167,1.30102,1.25812,27.9652,4.71416e-06,1.67993,0.522443,6.04178,1.47039
115.706,100.869,136.381,0.0430221,2.83439,2.70374,104.251,0.000770077,17.1131,16.4779,91.8336,0.000137167,1.30239,1.259,28.05,4.71416e-06,1.6786,0.522442,6.02459,1.47038
115.706,100.869,136.38,0.0430221,2.83149,2.70168,103.849,0.000770077,17.1131,16.4779,91.8325,0.000137167,1.29949,1.25694,27.6475,4.71416e-06,1.68485,0.522443,6.10588,1.47039
115.706,100.869,136.381,0.0430221,2.83486,2.70465,104.263,0.000770077,17.1131,16.4779,91.833,0.000137167,1.30286,1.25991,28.0616,4.71416e-06,1.6784,0.522443,6.02205,1.47038
115.706,100.869,136.38,0.0430221,2.83267,2.70272,104.249,0.000770077,17.1131,16.4779,91.8326,0.000137167,1.30067,1.25798,28.0476,4.71416e-06,1.67868,0.522443,6.02562,1.47039
