1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001374,-0.000818,-0.000184,-0.000904,-0.000586,-0.000378,-0.000012,-0.000049,0.028058,0.015285,0.015143,0.015192,0.013773,0.010515,0.004145,0.010036
-0.002116,0.001918,0.001291,0.000605,0.000165,0.000105,0.000011,-0.000110,0.032894,0.022592,0.021734,0.015929,0.011898,0.014099,0.006383,0.007462
-0.000723,0.001425,0.000915,0.001266,0.000382,0.000673,0.000018,-0.000171,0.032173,0.016943,0.017853,0.018062,0.018656,0.015316,0.006641,0.008099
0.003581,-0.001371,-0.000372,-0.000308,-0.000037,0.000282,0.000009,0.000092,0.033837,0.020737,0.020042,0.014399,0.013089,0.015795,0.006427,0.007176
-0.000796,-0.000289,-0.000910,-0.001581,-0.000347,-0.000609,-0.000037,0.000171,0.029609,0.017680,0.019776,0.018661,0.013012,0.015963,0.007844,0.011287
-0.001718,0.000451,0.000014,0.000405,-0.000328,0.000058,-0.000018,0.000055,0.030971,0.014128,0.020995,0.014646,0.014748,0.012349,0.007724,0.006905
-0.004069,-0.000737,-0.000110,-0.000145,-0.000042,0.000276,0.000015,0.000159,0.026269,0.017340,0.012173,0.016682,0.015617,0.012495,0.008623,0.011388
-0.001736,0.000136,0.000019,0.000038,0.000271,0.000632,0.000100,0.000140,0.028399,0.022975,0.017735,0.019436,0.020601,0.016734,0.009741,0.011304
-0.005570,-0.001518,0.000037,-0.000274,0.000062,0.000345,-0.000008,0.000165,0.032121,0.019064,0.014381,0.016754,0.014022,0.013525,0.009391,0.011896
0.002333,0.002125,0.000449,0.000711,0.000220,0.000037,0.000036,-0.000226,0.029662,0.020208,0.023111,0.019918,0.015992,0.014021,0.007584,0.013115
-0.004955,-0.002528,-0.000939,-0.000497,-0.000250,-0.000174,0.000027,-0.000134,0.029047,0.023127,0.018916,0.022530,0.018922,0.016547,0.009103,0.008950
0.003689,0.001163,0.000124,-0.000011,-0.000061,0.000031,-0.000008,-0.000189,0.033455,0.018552,0.017843,0.013555,0.015827,0.013481,0.006814,0.012336
-0.010724,-0.001196,0.000146,0.000254,-0.000479,0.000155,-0.000043,0.000262,0.033001,0.023852,0.020406,0.017184,0.019619,0.020225,0.009249,0.007978
-0.002695,0.002101,0.000287,0.000453,0.000280,0.000241,-0.000002,0.000323,0.028424,0.019261,0.023162,0.013066,0.016281,0.012808,0.008267,0.012759
-0.001573,-0.002197,-0.000208,-0.000626,-0.000107,0.000191,-0.000007,-0.000043,0.028068,0.018325,0.020207,0.019852,0.013451,0.019056,0.006923,0.008929
-0.002423,0.000728,0.000174,-0.000376,-0.000343,-0.000104,0.000014,-0.000189,0.028028,0.018243,0.021066,0.016874,0.014163,0.016807,0.007061,0.011438
-0.002441,-0.001439,-0.000908,0.000068,-0.000203,-0.000184,0.000002,-0.000153,0.029994,0.019739,0.022009,0.018582,0.023395,0.016065,0.007334,0.013907
-0.000597,0.000623,0.000204,0.000277,0.000084,-0.000032,0.000026,0.000043,0.027040,0.017423,0.020991,0.019417,0.019867,0.016411,0.007053,0.010130
0.004087,0.001052,-0.000214,-0.000150,0.000038,-0.000196,0.000011,-0.000012,0.028317,0.024163,0.021009,0.019092,0.020276,0.018032,0.007534,0.007150
0.000018,-0.001776,-0.000781,-0.000223,-0.000520,-0.000447,-0.000021,-0.000079,0.027625,0.022909,0.020069,0.017308,0.015153,0.017205,0.007665,0.011472
0.004847,-0.000938,-0.000462,0.000105,0.000158,0.000168,-0.000011,0.000079,0.032517,0.023073,0.019925,0.017751,0.019411,0.017830,0.009610,0.006794
0.003888,0.001939,0.000038,0.000252,0.000433,0.000295,0.000012,0.000238,0.032210,0.023670,0.020569,0.016761,0.019711,0.017295,0.006196,0.010351
-0.006492,-0.003020,0.000510,-0.000145,-0.000158,0.000125,0.000000,-0.000073,0.028086,0.026030,0.021723,0.020241,0.015122,0.016818,0.007093,0.009608
0.001917,-0.000676,0.000435,-0.000192,-0.000022,-0.000101,0.000013,-0.000183,0.033129,0.020878,0.024109,0.020651,0.016706,0.020114,0.006453,0.009567
0.004539,-0.000701,0.000237,0.000200,0.000049,0.000051,0.000076,-0.000488,0.032544,0.018990,0.021436,0.018933,0.019621,0.014645,0.006946,0.009832
0.005841,-0.001282,-0.000317,-0.000335,-0.000005,-0.000121,0.000039,-0.000238,0.027744,0.019510,0.022886,0.020530,0.019952,0.017362,0.007891,0.012242
-0.003997,-0.000729,0.000321,-0.000027,-0.000413,-0.000126,-0.000049,0.000183,0.028069,0.018571,0.023765,0.021394,0.017440,0.012082,0.009046,0.011185
0.004358,-0.000338,0.000139,0.000479,0.000139,0.000319,0.000005,0.000177,0.029662,0.019170,0.016750,0.018325,0.015906,0.016368,0.006295,0.008169
-0.000326,0.000970,-0.000111,0.000130,-0.000130,-0.000377,0.000005,-0.000195,0.029846,0.017327,0.015673,0.016274,0.015336,0.017779,0.006663,0.012007
-0.003092,-0.000025,-0.000834,-0.000093,0.000055,-0.000197,0.000051,0.000262,0.029362,0.018061,0.021333,0.017075,0.015203,0.015735,0.008006,0.011098
-0.001049,-0.002413,-0.000707,-0.000187,-0.000094,-0.000479,-0.000016,0.000208,0.029716,0.024608,0.023664,0.015296,0.016190,0.017868,0.006134,0.011116
-0.000470,-0.001071,0.000301,0.000078,0.000107,0.000039,0.000001,-0.000153,0.029116,0.026511,0.017540,0.015482,0.017920,0.013904,0.007284,0.013602
