L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
73.964,63.9258,114.754,0.361782,1.06935,1.01465,94.1877,0.0095319,8.96162,8.618,85.5071,0.336188,0.345749,0.336017,18.1401,0.00933007,1.91515,0.728923,9.79338,1.78318
73.964,63.9258,114.753,0.51396,1.07066,1.01604,94.1508,0.0133934,8.96162,8.618,85.5065,0.488366,0.347066,0.33741,18.1033,0.0131915,1.91576,0.728486,9.80915,1.78057
73.964,63.9258,114.754,0.548472,1.07508,1.02025,94.6634,0.014045,8.96162,8.618,85.5073,0.522879,0.351479,0.34162,18.6159,0.0138431,1.90543,0.728385,9.54421,1.77996
73.964,63.9258,114.754,0.534996,1.07519,1.02033,94.4985,0.013677,8.96162,8.618,85.5075,0.509402,0.351592,0.341701,18.451,0.0134752,1.90868,0.728423,9.62646,1.78019
73.964,63.9258,114.753,0.611776,1.07194,1.01747,94.0297,0.0156581,8.96162,8.618,85.506,0.586183,0.348341,0.338844,17.9821,0.0154562,1.91807,0.728207,9.87014,1.7789
73.964,63.9258,114.752,0.590729,1.07146,1.01711,93.9451,0.0151855,8.96162,8.618,85.5058,0.565135,0.347858,0.338477,17.8976,0.0149836,1.91979,0.728268,9.91573,1.77926
73.964,63.9258,114.752,0.63812,1.071,1.01672,93.856,0.0163583,8.96162,8.618,85.5056,0.612526,0.347404,0.338087,17.8085,0.0161565,1.92156,0.728132,9.96327,1.77845
73.964,63.9258,114.752,0.725228,1.07188,1.0175,94.0278,0.0185485,8.96162,8.618,85.5057,0.699634,0.34828,0.33887,17.9802,0.0183466,1.91805,0.727881,9.86964,1.77696
73.964,63.9258,114.753,0.685782,1.073,1.01854,94.0775,0.0172281,8.96162,8.618,85.5063,0.660188,0.349404,0.339905,18.03,0.0170263,1.91704,0.727993,9.84299,1.77762
73.964,63.9258,114.752,0.615014,1.07052,1.01635,93.8759,0.0156764,8.96162,8.618,85.505,0.58942,0.346923,0.337722,17.8284,0.0154745,1.92119,0.7282,9.9534,1.77886
73.964,63.9258,114.751,0.705545,1.07011,1.01608,93.6931,0.01819,8.96162,8.618,85.5047,0.679951,0.346515,0.337449,17.6456,0.0179882,1.92482,0.727941,10.0516,1.77731
73.964,63.9258,114.753,0.565822,1.07286,1.01844,94.1948,0.014373,8.96162,8.618,85.506,0.540228,0.34926,0.339809,18.1473,0.0141712,1.91477,0.728339,9.78334,1.77969
73.964,63.9258,114.751,0.722104,1.07019,1.01612,93.6931,0.0186991,8.96162,8.618,85.5048,0.69651,0.346592,0.337492,17.6455,0.0184973,1.92481,0.727893,10.0512,1.77703
73.964,63.9258,114.751,0.640997,1.06879,1.01483,93.6281,0.0163519,8.96162,8.618,85.5044,0.615403,0.345194,0.336202,17.5805,0.0161501,1.92622,0.728127,10.0898,1.77842
73.964,63.9258,114.752,0.598357,1.07109,1.01689,93.9689,0.0156837,8.96162,8.618,85.5053,0.572763,0.34749,0.338256,17.9214,0.0154819,1.91931,0.728247,9.9031,1.77914
73.964,63.9258,114.751,0.600649,1.06914,1.01524,93.4891,0.015283,8.96162,8.618,85.5045,0.575055,0.345545,0.336613,17.4416,0.0150812,1.92902,0.728243,10.1672,1.77911
73.964,63.9258,114.751,0.624948,1.06966,1.01566,93.563,0.0160347,8.96162,8.618,85.5047,0.599354,0.346067,0.337027,17.5154,0.0158328,1.9275,0.728172,10.1251,1.77869
73.964,63.9258,114.752,0.610017,1.07032,1.01625,93.7236,0.0158698,8.96162,8.618,85.5049,0.584423,0.346721,0.337616,17.6761,0.0156679,1.92425,0.728215,10.0359,1.77895
73.964,63.9258,114.751,0.638843,1.06957,1.01559,93.5411,0.0168061,8.96162,8.618,85.5046,0.613249,0.345974,0.336963,17.4936,0.0166042,1.92793,0.728133,10.1369,1.77846
73.964,63.9258,114.751,0.637386,1.06949,1.01552,93.7236,0.0164262,8.96162,8.618,85.5046,0.611792,0.345891,0.336891,17.6761,0.0162244,1.92427,0.728137,10.0365,1.77848
73.964,63.9258,114.751,0.736123,1.06899,1.01512,93.2435,0.0189939,8.96162,8.618,85.5044,0.71053,0.34539,0.33649,17.196,0.0187921,1.93392,0.727854,10.3048,1.77679
73.964,63.9258,114.751,0.565814,1.06832,1.01448,93.502,0.0149766,8.96162,8.618,85.5041,0.54022,0.344718,0.335852,17.4545,0.0147748,1.9288,0.728344,10.161,1.77972
73.964,63.9258,114.752,0.607708,1.07035,1.01633,93.5931,0.0156545,8.96162,8.618,85.505,0.582114,0.346753,0.337699,17.5456,0.0154527,1.92687,0.728221,10.1078,1.77898
73.964,63.9258,114.751,0.585159,1.06993,1.01594,93.7083,0.0154115,8.96162,8.618,85.5045,0.559565,0.346334,0.337312,17.6608,0.0152097,1.92458,0.728287,10.0449,1.77938
73.964,63.9258,114.751,0.5964,1.0682,1.01445,93.2435,0.0152827,8.96162,8.618,85.5039,0.570806,0.344607,0.335817,17.196,0.0150809,1.93403,0.728257,10.3078,1.7792
73.964,63.9258,114.752,0.658949,1.0704,1.01633,93.7822,0.0172895,8.96162,8.618,85.505,0.633355,0.346802,0.337701,17.7346,0.0170877,1.92304,0.728074,10.0032,1.7781
73.964,63.9258,114.751,0.684198,1.06887,1.01495,93.3805,0.017541,8.96162,8.618,85.5045,0.658604,0.345276,0.33632,17.333,0.0173392,1.93118,0.728003,10.2275,1.77768
73.964,63.9258,114.751,0.560167,1.069,1.01513,93.5953,0.0142299,8.96162,8.618,85.5043,0.534573,0.345399,0.336497,17.5478,0.014028,1.92691,0.72836,10.1087,1.77981
73.964,63.9258,114.751,0.586206,1.06926,1.01533,93.615,0.015168,8.96162,8.618,85.5045,0.560612,0.345658,0.336699,17.5674,0.0149662,1.92649,0.728284,10.0971,1.77936
73.964,63.9258,114.75,0.649928,1.06707,1.01339,93.2327,0.0163996,8.96162,8.618,85.5037,0.624334,0.343471,0.334761,17.1852,0.0161978,1.93427,0.728103,10.3146,1.77828
73.964,63.9258,114.751,0.560222,1.06932,1.01533,93.6887,0.0145603,8.96162,8.618,85.5048,0.534628,0.345726,0.336701,17.6412,0.0143585,1.92501,0.728358,10.0568,1.7798
73.964,63.9258,114.751,0.608175,1.06861,1.01476,93.4259,0.0154379,8.96162,8.618,85.5043,0.582581,0.345009,0.336126,17.3784,0.0152361,1.93032,0.728222,10.2032,1.77899
