epoch,average loss,accuracy
0.000000,72.665581,42.630001
1.000000,63.529598,51.770000
2.000000,58.344921,57.959999
3.000000,55.717171,59.020000
4.000000,47.077553,67.139999
5.000000,41.192879,71.889999
6.000000,40.265965,72.389999
7.000000,40.098335,72.980003
8.000000,36.140091,75.559998
9.000000,35.734398,76.320000
10.000000,36.302181,75.680000
11.000000,34.601219,77.470001
12.000000,33.581764,77.629997
13.000000,33.290855,78.250000
14.000000,31.792883,79.320000
15.000000,30.793718,80.010002
16.000000,31.733505,79.080002
17.000000,29.781366,80.680000
18.000000,30.750744,79.589996
19.000000,32.363491,78.260002
20.000000,31.669655,78.720001
21.000000,29.464590,80.440002
22.000000,33.836937,76.709999
23.000000,33.295860,77.389999
24.000000,32.073666,78.220001
25.000000,31.698952,78.680000
26.000000,28.957533,81.019997
27.000000,27.783772,81.959999
28.000000,27.599976,82.120003
29.000000,29.823425,80.669998
30.000000,27.062805,82.190002
31.000000,26.314171,83.199997
