1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001374,-0.000818,-0.000184,-0.000904,-0.000586,-0.000378,-0.000012,-0.000049,0.028058,0.015285,0.015143,0.015192,0.013773,0.010515,0.004145,0.010036
-0.002116,0.001918,0.001291,0.000605,0.000165,0.000105,0.000011,-0.000110,0.032894,0.022592,0.021734,0.015929,0.011898,0.014099,0.006383,0.007462
-0.000723,0.001425,0.000915,0.001266,0.000382,0.000673,0.000018,-0.000171,0.032173,0.016943,0.017853,0.018062,0.018656,0.015316,0.006641,0.008099
0.003581,-0.001371,-0.000372,-0.000308,-0.000037,0.000282,0.000009,0.000092,0.033837,0.020737,0.020042,0.014399,0.013089,0.015795,0.006427,0.007176
-0.000796,-0.000289,-0.000910,-0.001581,-0.000347,-0.000609,-0.000037,0.000171,0.029609,0.017680,0.019776,0.018661,0.013012,0.015963,0.007844,0.011287
-0.001718,0.000451,0.000014,0.000405,-0.000328,0.000058,-0.000018,0.000055,0.030971,0.014128,0.020995,0.014646,0.014748,0.012349,0.007724,0.006905
-0.004069,-0.000737,-0.000110,-0.000145,-0.000042,0.000276,0.000015,0.000159,0.026269,0.017340,0.012173,0.016682,0.015617,0.012495,0.008623,0.011388
-0.001736,0.000136,0.000019,0.000038,0.000271,0.000632,0.000100,0.000140,0.028399,0.022975,0.017735,0.019436,0.020601,0.016734,0.009741,0.011304
-0.005570,-0.001518,0.000037,-0.000274,0.000062,0.000345,-0.000008,0.000165,0.032121,0.019064,0.014381,0.016754,0.014022,0.013525,0.009391,0.011896
0.002966,0.001434,-0.000184,0.000851,0.000084,0.000052,-0.000002,-0.000464,0.031725,0.019733,0.020983,0.016283,0.015059,0.012735,0.009191,0.011904
-0.005932,-0.002096,-0.000828,-0.000500,-0.000042,-0.000337,-0.000031,-0.000159,0.027704,0.024390,0.019779,0.015695,0.018683,0.015454,0.007987,0.009804
-0.001103,0.001103,0.000018,0.000234,0.000035,0.000100,0.000033,-0.000073,0.028371,0.019542,0.021868,0.015903,0.015301,0.018545,0.007221,0.011288
-0.001989,-0.000749,-0.000290,0.000641,-0.000179,-0.000030,0.000020,-0.000031,0.029323,0.022898,0.019959,0.017582,0.022812,0.017422,0.007266,0.007788
0.000886,0.000852,0.000377,0.000709,0.000353,0.000125,0.000009,0.000562,0.029511,0.020668,0.023273,0.020952,0.021780,0.012751,0.006783,0.011104
0.000163,-0.001063,-0.000205,-0.000464,-0.000151,0.000145,-0.000017,0.000128,0.026153,0.019385,0.016376,0.014410,0.015452,0.018205,0.007938,0.012941
-0.000253,0.000365,-0.000649,-0.000184,-0.000245,-0.000402,0.000032,-0.000140,0.027191,0.018079,0.021102,0.015461,0.013946,0.016542,0.008660,0.011637
-0.006131,-0.001889,-0.001324,-0.000431,-0.000242,0.000117,-0.000041,0.000024,0.034516,0.017725,0.021055,0.020691,0.014758,0.017639,0.007298,0.012598
0.000723,0.000702,0.000411,-0.000054,-0.000003,0.000172,0.000051,0.000305,0.028562,0.019389,0.015933,0.018673,0.013876,0.018450,0.009280,0.009362
0.003924,-0.000100,0.000613,0.000219,0.000308,-0.000109,0.000023,0.000177,0.032029,0.018592,0.022782,0.017753,0.016350,0.018756,0.006947,0.010750
-0.002568,0.000240,0.000014,0.000610,-0.000193,-0.000109,-0.000043,-0.000116,0.030488,0.014402,0.017571,0.019937,0.015056,0.011012,0.009213,0.010997
-0.000651,0.000661,-0.000040,0.000797,-0.000129,0.000314,0.000017,-0.000055,0.033483,0.025285,0.020961,0.020198,0.013422,0.015981,0.006174,0.008401
-0.000036,0.002742,0.000478,0.000545,0.000505,0.000142,0.000032,-0.000043,0.028847,0.026842,0.023949,0.020881,0.016796,0.013066,0.006616,0.008713
-0.002116,-0.000444,0.000185,-0.000186,-0.000081,-0.000009,0.000009,0.000159,0.024824,0.019837,0.021513,0.019966,0.015703,0.015149,0.006524,0.008377
0.000741,-0.002627,-0.000225,-0.000815,-0.000136,-0.000491,0.000016,-0.000031,0.030309,0.022045,0.020863,0.019370,0.020801,0.017293,0.007147,0.011372
0.000778,0.000141,0.000695,0.000351,0.000178,0.000076,0.000026,0.000116,0.026951,0.023693,0.022231,0.020925,0.020666,0.016587,0.007573,0.008886
0.004449,-0.002477,-0.000013,-0.000143,0.000005,-0.000126,-0.000004,-0.000189,0.025926,0.023134,0.021851,0.014594,0.015008,0.018769,0.009376,0.010679
-0.003888,-0.000576,-0.000375,-0.000275,-0.000383,-0.000340,-0.000004,0.000482,0.031536,0.019004,0.016372,0.020109,0.016279,0.018353,0.008305,0.013789
0.002713,0.001594,0.000034,0.000515,0.000178,0.000287,0.000000,-0.000079,0.033750,0.025053,0.016213,0.014002,0.015433,0.018046,0.007671,0.011305
0.002405,-0.000146,0.000442,0.000065,0.000010,-0.000200,-0.000004,-0.000134,0.030148,0.024781,0.021271,0.020771,0.015215,0.011937,0.006835,0.007860
-0.002188,-0.000777,0.000746,0.000110,0.000511,0.000325,0.000020,0.000061,0.032579,0.023552,0.022632,0.018416,0.022924,0.017893,0.007464,0.011522
-0.002695,-0.000364,0.000612,0.000113,-0.000095,-0.000165,0.000021,0.000281,0.031229,0.021724,0.019321,0.014938,0.017534,0.017901,0.006739,0.007610
0.000434,-0.000625,0.001122,0.000175,0.000291,-0.000201,0.000027,0.000037,0.026430,0.018519,0.023195,0.020087,0.017391,0.018300,0.006834,0.010945
