L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
46.998,37.7799,117.329,0.36858,1.58118,1.4997,104.978,0.0197056,13.5765,13.2373,91.8438,0.336193,0.718321,0.695715,28.7841,0.00934711,1.70602,0.910833,6.10516,1.54984
46.998,37.7799,117.328,0.520761,1.58426,1.50291,104.929,0.0256636,13.5765,13.2373,91.8431,0.488375,0.721407,0.698923,28.7358,0.013215,1.70659,0.910152,6.11287,1.54787
46.998,37.7799,117.329,0.555274,1.59224,1.51056,105.599,0.0257648,13.5765,13.2373,91.8441,0.522888,0.729388,0.706568,29.4055,0.0138677,1.69583,0.909992,5.97696,1.54741
46.998,37.7799,117.33,0.541797,1.59251,1.51077,105.384,0.0256279,13.5765,13.2373,91.8444,0.509411,0.729649,0.706779,29.1899,0.0134989,1.69919,0.910052,6.01901,1.54758
46.998,37.7799,117.328,0.618579,1.58778,1.50669,104.771,0.0280831,13.5765,13.2373,91.8423,0.586193,0.724925,0.702703,28.5778,0.0154834,1.70893,0.909716,6.1431,1.54661
46.998,37.7799,117.327,0.597531,1.58735,1.50645,104.661,0.0266973,13.5765,13.2373,91.8421,0.565145,0.72449,0.702459,28.4674,0.015009,1.71071,0.909812,6.16601,1.54689
46.998,37.7799,117.327,0.644923,1.58677,1.50597,104.545,0.0277692,13.5765,13.2373,91.8418,0.612536,0.72391,0.701983,28.3513,0.0161834,1.71256,0.9096,6.19001,1.54628
46.998,37.7799,117.327,0.732034,1.5882,1.50725,104.769,0.0319478,13.5765,13.2373,91.8419,0.699647,0.725344,0.703265,28.5754,0.0183801,1.70889,0.909209,6.1428,1.54514
46.998,37.7799,117.328,0.692585,1.59004,1.50895,104.834,0.0291039,13.5765,13.2373,91.8428,0.660198,0.727186,0.70496,28.6406,0.0170539,1.70785,0.909382,6.12904,1.54564
46.998,37.7799,117.326,0.681268,1.5861,1.50564,104.347,0.0293963,13.5765,13.2373,91.8405,0.648881,0.723244,0.70165,28.1534,0.0167834,1.7157,0.909443,6.23149,1.54582
46.998,37.7799,117.326,0.651707,1.5859,1.50554,104.248,0.0292962,13.5765,13.2373,91.8405,0.619321,0.723042,0.701547,28.054,0.0162477,1.7173,0.909575,6.25266,1.5462
46.998,37.7799,117.327,0.620236,1.58748,1.50683,104.636,0.0282439,13.5765,13.2373,91.8415,0.58785,0.724621,0.702839,28.4426,0.0156328,1.71108,0.909712,6.17089,1.5466
46.998,37.7799,117.326,0.629265,1.58611,1.50567,104.359,0.0299419,13.5765,13.2373,91.8405,0.596879,0.723254,0.701676,28.165,0.0162309,1.71551,0.909676,6.22916,1.5465
46.998,37.7799,117.326,0.584817,1.58574,1.50532,104.267,0.0288944,13.5765,13.2373,91.8408,0.552431,0.722882,0.701329,28.0737,0.0150021,1.71699,0.909875,6.24884,1.54707
46.998,37.7799,117.326,0.653779,1.58565,1.50532,104.222,0.0284289,13.5765,13.2373,91.8408,0.621393,0.722789,0.701335,28.0284,0.0163951,1.71773,0.909565,6.25816,1.54617
