L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
59.5673,48.7452,55.4408,0.0360429,2.29707,2.17767,84.5525,0.000932535,6.04948,5.8902,34.6982,0.000133167,1.04734,1.01446,8.50871,2.26063e-06,2.07016,1.12597,17.4468,3.95432
59.564,48.7419,55.4403,0.0360429,2.30409,2.18483,84.5465,0.000932535,6.04617,5.88689,34.6976,0.000133167,1.05436,1.02162,8.50268,2.26063e-06,2.06997,1.12602,17.4333,3.95492
59.5655,48.7435,55.441,0.0360429,2.31735,2.19767,84.6303,0.000932535,6.04773,5.88845,34.6984,0.000133167,1.06762,1.03446,8.58649,2.26063e-06,2.06742,1.12599,17.2541,3.95459
59.5669,48.7448,55.4412,0.0360429,2.31808,2.19835,84.6034,0.000932535,6.04903,5.88976,34.6986,0.000133167,1.06835,1.03514,8.55954,2.26063e-06,2.06801,1.12597,17.2954,3.95435
59.5626,48.7406,55.4397,0.0360429,2.31288,2.19394,84.5267,0.000932535,6.04481,5.88554,34.6971,0.000133167,1.06315,1.03073,8.48287,2.26063e-06,2.07001,1.12604,17.4365,3.9552
59.5617,48.7397,55.4396,0.0360429,2.31323,2.19452,84.5128,0.000932535,6.04391,5.88464,34.6969,0.000133167,1.0635,1.03131,8.46903,2.26063e-06,2.07031,1.12605,17.4578,3.95537
59.5615,48.7394,55.4393,0.0360429,2.31275,2.19416,84.4983,0.000932535,6.04367,5.8844,34.6967,0.000133167,1.06301,1.03095,8.45448,2.26063e-06,2.07067,1.12606,17.4833,3.95543
59.5619,48.7398,55.4394,0.0360429,2.31495,2.19618,84.5264,0.000932535,6.04409,5.88482,34.6968,0.000133167,1.06522,1.03297,8.48255,2.26063e-06,2.06992,1.12605,17.4299,3.95535
59.5618,48.7398,55.44,0.0360429,2.31749,2.19854,84.5345,0.000932535,6.04402,5.88475,34.6974,0.000133167,1.06776,1.03533,8.4907,2.26063e-06,2.06962,1.12605,17.4084,3.95531
59.5607,48.7386,55.4384,0.0360429,2.31371,2.19553,84.4735,0.000932535,6.04284,5.88357,34.6958,0.000133167,1.06398,1.03232,8.42964,2.26063e-06,2.07119,1.12607,17.5207,3.95565
59.56,48.7379,55.4384,0.0360429,2.31389,2.19583,84.461,0.000932535,6.04217,5.8829,34.6958,0.000133167,1.06415,1.03262,8.4172,2.26063e-06,2.07147,1.12608,17.5406,3.95576
59.5604,48.7384,55.439,0.0360429,2.31514,2.19682,84.4838,0.000932535,6.04263,5.88335,34.6964,0.000133167,1.06541,1.0336,8.43995,2.26063e-06,2.07089,1.12607,17.499,3.95563
59.5607,48.7386,55.4379,0.0360429,2.31292,2.19516,84.4173,0.000932535,6.04284,5.88356,34.6953,0.000133167,1.06319,1.03195,8.37354,2.26063e-06,2.07253,1.12608,17.6165,3.95569
59.5585,48.7365,55.4385,0.0360429,2.31369,2.19563,84.4351,0.000932535,6.04072,5.88144,34.6959,0.000133167,1.06395,1.03242,8.39131,2.26063e-06,2.07208,1.1261,17.5846,3.956
59.5633,48.7412,55.4392,0.0360429,2.31657,2.19803,84.5097,0.000932535,6.04548,5.8862,34.6966,0.000133167,1.06683,1.03481,8.46585,2.26063e-06,2.07023,1.12603,17.4517,3.95513
59.5594,48.7373,55.438,0.0360429,2.31342,2.19568,84.4174,0.000932535,6.04157,5.8823,34.6953,0.000133167,1.06369,1.03247,8.37354,2.26063e-06,2.0725,1.12609,17.6148,3.9559
59.5588,48.7367,55.4382,0.0360429,2.3143,2.19632,84.4369,0.000932535,6.04099,5.88172,34.6956,0.000133167,1.06457,1.0331,8.39307,2.26063e-06,2.07201,1.1261,17.5794,3.95597
59.5588,48.7368,55.4383,0.0360429,2.31335,2.19541,84.4404,0.000932535,6.04102,5.88175,34.6956,0.000133167,1.06362,1.0322,8.39661,2.26063e-06,2.07197,1.1261,17.5766,3.95597
59.5588,48.7367,55.438,0.0360429,2.31271,2.19503,84.4223,0.000932535,6.04099,5.88172,34.6954,0.000133167,1.06298,1.03181,8.37847,2.26063e-06,2.07242,1.1261,17.6088,3.956
59.5609,48.7389,55.4384,0.0360429,2.31459,2.19654,84.4731,0.000932535,6.04312,5.88385,34.6958,0.000133167,1.06485,1.03333,8.4293,2.26063e-06,2.07116,1.12607,17.5181,3.9556
59.5594,48.7373,55.4382,0.0360429,2.31556,2.19759,84.4482,0.000932535,6.04155,5.88227,34.6956,0.000133167,1.06582,1.03438,8.40444,2.26063e-06,2.07169,1.12609,17.5562,3.95588
59.5592,48.7371,55.4383,0.0360429,2.31406,2.19608,84.4401,0.000932535,6.0414,5.88213,34.6957,0.000133167,1.06433,1.03286,8.39625,2.26063e-06,2.07195,1.12609,17.5749,3.9559
59.5582,48.7361,55.4385,0.0360429,2.31616,2.19807,84.4798,0.000932535,6.0404,5.88112,34.6959,0.000133167,1.06642,1.03485,8.436,2.26063e-06,2.07093,1.12611,17.5018,3.95605
59.5578,48.7357,55.4378,0.0360429,2.31421,2.19647,84.4588,0.000932535,6.03993,5.88066,34.6952,0.000133167,1.06447,1.03326,8.41504,2.26063e-06,2.0715,1.12612,17.5426,3.95619
59.5578,48.7357,55.4377,0.0360429,2.31318,2.19563,84.4237,0.000932535,6.03996,5.88068,34.695,0.000133167,1.06344,1.03241,8.3799,2.26063e-06,2.07236,1.12612,17.6046,3.9562
59.5571,48.7351,55.4383,0.0360429,2.31399,2.19604,84.4532,0.000932535,6.03932,5.88005,34.6957,0.000133167,1.06426,1.03283,8.40937,2.26063e-06,2.07165,1.12612,17.5531,3.95625
59.5587,48.7366,55.4382,0.0360429,2.31291,2.19509,84.4312,0.000932535,6.0409,5.88163,34.6956,0.000133167,1.06317,1.03187,8.38736,2.26063e-06,2.07221,1.1261,17.5934,3.95599
59.557,48.7349,55.4378,0.0360429,2.31051,2.19286,84.4142,0.000932535,6.03916,5.87989,34.6952,0.000133167,1.06078,1.02965,8.37034,2.26063e-06,2.07271,1.12613,17.6298,3.95632
59.5579,48.7359,55.4381,0.0360429,2.31339,2.19552,84.4777,0.000932535,6.04012,5.88084,34.6954,0.000133167,1.06365,1.03231,8.43386,2.26063e-06,2.0711,1.12611,17.5142,3.95614
59.5546,48.7325,55.4376,0.0360429,2.31076,2.19335,84.3981,0.000932535,6.03678,5.87751,34.695,0.000133167,1.06103,1.03014,8.35431,2.26063e-06,2.07307,1.12616,17.6556,3.95674
59.5558,48.7338,55.4377,0.0360429,2.31252,2.19497,84.424,0.000932535,6.03802,5.87874,34.695,0.000133167,1.06279,1.03176,8.38021,2.26063e-06,2.07238,1.12615,17.6063,3.95653
59.5557,48.7336,55.4381,0.0360429,2.3131,2.19539,84.4499,0.000932535,6.03789,5.87861,34.6955,0.000133167,1.06336,1.03218,8.40614,2.26063e-06,2.07176,1.12614,17.5611,3.95651
