L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
57.5582,49.6494,102.067,0.356994,0.595404,0.56531,88.4942,0.00944288,7.92108,7.58228,80.8707,0.336193,0.190446,0.187276,12.518,0.00932483,2.05664,0.87974,14.2906,1.90695
57.5582,49.6494,102.067,0.509176,0.595678,0.565639,88.4625,0.0133024,7.92108,7.58228,80.8703,0.488375,0.19072,0.187605,12.4863,0.0131844,2.05727,0.879104,14.3209,1.90396
57.5582,49.6494,102.067,0.543689,0.598067,0.567889,88.9026,0.0139537,7.92108,7.58228,80.8708,0.522888,0.193109,0.189855,12.9264,0.0138356,2.04709,0.878957,13.8421,1.90327
57.5582,49.6494,102.067,0.530212,0.598093,0.567892,88.7609,0.013586,7.92108,7.58228,80.871,0.509411,0.193135,0.189858,12.7847,0.0134679,2.05033,0.879013,13.9913,1.90353
57.5582,49.6494,102.066,0.606994,0.595615,0.565687,88.3587,0.015566,7.92108,7.58228,80.8699,0.586193,0.190657,0.187652,12.3825,0.015448,2.0596,0.878696,14.4347,1.90205
57.5582,49.6494,102.066,0.585946,0.595082,0.565234,88.2861,0.015094,7.92108,7.58228,80.8698,0.565145,0.190124,0.1872,12.3099,0.0149759,2.0613,0.878784,14.5188,1.90246
57.5582,49.6494,102.066,0.633338,0.594688,0.564884,88.2098,0.0162664,7.92108,7.58228,80.8696,0.612536,0.189729,0.18685,12.2336,0.0161484,2.06305,0.878587,14.6061,1.90153
57.5582,49.6494,102.066,0.720449,0.595254,0.565387,88.3571,0.0184546,7.92108,7.58228,80.8697,0.699647,0.190296,0.187353,12.3809,0.0183365,2.05959,0.878222,14.434,1.89983
57.5582,49.6494,102.066,0.681,0.595983,0.566053,88.3999,0.0171359,7.92108,7.58228,80.8702,0.660199,0.191025,0.188019,12.4237,0.0170179,2.0586,0.878385,14.3857,1.90059
57.5582,49.6494,102.066,0.610232,0.594109,0.564387,88.227,0.015584,7.92108,7.58228,80.8692,0.589431,0.189151,0.186352,12.2508,0.0154659,2.0627,0.878685,14.5883,1.902
57.5582,49.6494,102.065,0.700765,0.593591,0.563962,88.0702,0.0180963,7.92108,7.58228,80.869,0.679964,0.188633,0.185927,12.094,0.0179783,2.06629,0.878307,14.7696,1.90023
57.5582,49.6494,102.066,0.561039,0.595741,0.565846,88.5008,0.0142816,7.92108,7.58228,80.8699,0.540237,0.190782,0.187812,12.5246,0.0141636,2.05636,0.878888,14.2771,1.90295
57.5582,49.6494,102.065,0.717326,0.593682,0.564028,88.0702,0.0186044,7.92108,7.58228,80.8691,0.696524,0.188723,0.185994,12.094,0.0184864,2.06627,0.878237,14.7688,1.8999
57.5582,49.6494,102.065,0.636215,0.592784,0.563205,88.0145,0.0162599,7.92108,7.58228,80.8688,0.615414,0.187825,0.185171,12.0383,0.0161418,2.06766,0.878578,14.8399,1.90149
57.5582,49.6494,102.066,0.593577,0.594379,0.564632,88.3068,0.0155907,7.92108,7.58228,80.8695,0.572776,0.18942,0.186598,12.3306,0.0154726,2.06085,0.878754,14.4962,1.90232
57.5582,49.6494,102.065,0.595867,0.592785,0.563249,87.8954,0.0151908,7.92108,7.58228,80.8689,0.575066,0.187827,0.185215,11.9192,0.0150727,2.07044,0.878747,14.9847,1.90228
57.5582,49.6494,102.065,0.620167,0.593263,0.563652,87.9587,0.0159421,7.92108,7.58228,80.869,0.599366,0.188305,0.185618,11.9825,0.015824,2.06893,0.878644,14.906,1.9018
57.5582,49.6494,102.065,0.605236,0.593685,0.56403,88.0966,0.0157769,7.92108,7.58228,80.8692,0.584435,0.188727,0.185996,12.1204,0.0156588,2.06572,0.878706,14.741,1.9021
57.5582,49.6494,102.065,0.634063,0.593108,0.563518,87.9402,0.0167124,7.92108,7.58228,80.8689,0.613262,0.18815,0.185484,11.964,0.0165944,2.06935,0.878587,14.9278,1.90153
57.5582,49.6494,102.065,0.632605,0.593053,0.56347,88.0966,0.0163334,7.92108,7.58228,80.869,0.611804,0.188094,0.185436,12.1204,0.0162154,2.06574,0.878593,14.7418,1.90156
57.5582,49.6494,102.065,0.731345,0.592603,0.563088,87.6848,0.0188995,7.92108,7.58228,80.8688,0.710544,0.187645,0.185054,11.7086,0.0187814,2.07527,0.87818,15.2413,1.89963
57.5582,49.6494,102.065,0.561033,0.592198,0.562708,87.9065,0.0148836,7.92108,7.58228,80.8686,0.540232,0.18724,0.184674,11.9303,0.0147656,2.07022,0.878894,14.9729,1.90297
57.5582,49.6494,102.065,0.608691,0.593131,0.563569,87.9771,0.015547,7.92108,7.58228,80.869,0.58789,0.188173,0.185534,12.0009,0.015429,2.06852,0.878693,14.8846,1.90203
57.5582,49.6494,102.065,0.555485,0.591784,0.562358,87.8023,0.0147372,7.92108,7.58228,80.8684,0.534684,0.186826,0.184324,11.8261,0.0146191,2.07266,0.878918,15.1018,1.90309
57.5582,49.6494,102.065,0.613038,0.591761,0.562343,87.739,0.015615,7.92108,7.58228,80.8685,0.592237,0.186802,0.184308,11.7628,0.015497,2.07412,0.878676,15.1795,1.90195
57.5582,49.6494,102.065,0.609232,0.593312,0.563708,88.0929,0.015956,7.92108,7.58228,80.8691,0.588431,0.188353,0.185674,12.1167,0.015838,2.06582,0.87869,14.746,1.90202
57.5582,49.6494,102.065,0.681526,0.593324,0.563688,88.0577,0.0173802,7.92108,7.58228,80.8692,0.660725,0.188366,0.185654,12.0815,0.0172621,2.0666,0.878387,14.7859,1.9006
57.5582,49.6494,102.065,0.623879,0.592106,0.562636,87.9478,0.0163339,7.92108,7.58228,80.8685,0.603078,0.187148,0.184602,11.9716,0.0162159,2.06923,0.878631,14.9214,1.90174
57.5582,49.6494,102.065,0.586504,0.592681,0.563152,87.886,0.0151462,7.92108,7.58228,80.8688,0.565702,0.187722,0.185118,11.9098,0.0150282,2.07067,0.878786,14.9964,1.90247
57.5582,49.6494,102.064,0.594374,0.590343,0.56109,87.4371,0.0155316,7.92108,7.58228,80.8679,0.573573,0.185385,0.183055,11.4609,0.0154136,2.08125,0.878757,15.5699,1.90233
57.5582,49.6494,102.066,0.595136,0.593772,0.56413,88.212,0.0157712,7.92108,7.58228,80.8692,0.574334,0.188813,0.186096,12.2358,0.0156531,2.06305,0.878748,14.6061,1.90229
57.5582,49.6494,102.065,0.53941,0.593296,0.563699,88.0929,0.0141904,7.92108,7.58228,80.8691,0.518609,0.188337,0.185665,12.1167,0.0140723,2.06586,0.878982,14.7481,1.90339
