epoch,average loss,accuracy
0.000000,72.665581,42.630001
1.000000,63.529598,51.770000
2.000000,58.344921,57.959999
3.000000,55.717171,59.020000
4.000000,47.077553,67.139999
5.000000,41.192879,71.889999
6.000000,40.265965,72.389999
7.000000,40.098335,72.980003
8.000000,36.140091,75.559998
9.000000,35.734398,76.320000
10.000000,36.302181,75.680000
11.000000,34.832283,76.930000
12.000000,36.805355,75.430000
13.000000,32.994678,78.389999
14.000000,32.153866,78.870003
15.000000,30.656851,80.010002
16.000000,32.022373,78.709999
17.000000,31.498869,79.800003
18.000000,33.997086,76.500000
19.000000,35.357731,76.239998
20.000000,31.092060,79.480003
21.000000,30.855036,79.489998
22.000000,30.115763,80.260002
23.000000,29.153025,80.900002
24.000000,30.127157,79.739998
25.000000,32.842384,78.099998
26.000000,26.304079,82.769997
27.000000,26.525175,82.879997
28.000000,27.613609,82.410004
29.000000,28.217281,81.849998
30.000000,27.467604,81.900002
31.000000,27.643938,81.680000
