L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
66.5948,54.5847,120.361,0.043463,2.50546,2.37241,104.976,0.00100907,14.2636,13.5967,91.8366,0.000133167,1.28632,1.24054,28.7827,4.57866e-06,1.67761,0.763386,5.89025,1.54074
66.5948,54.5847,120.36,0.043463,2.5133,2.38047,104.928,0.00100907,14.2636,13.5967,91.8358,0.000133167,1.29416,1.2486,28.7345,4.57866e-06,1.6781,0.763388,5.89634,1.54075
66.5948,54.5847,120.361,0.043463,2.52733,2.39381,105.598,0.00100907,14.2636,13.5967,91.8369,0.000133167,1.30819,1.26195,29.4042,4.57866e-06,1.66752,0.763385,5.76779,1.54073
66.5948,54.5847,120.361,0.043463,2.52803,2.39443,105.382,0.00100907,14.2636,13.5967,91.8372,0.000133167,1.30889,1.26256,29.1886,4.57866e-06,1.67076,0.763384,5.80671,1.54073
66.5948,54.5847,120.359,0.043463,2.52364,2.39134,104.77,0.00100907,14.2636,13.5967,91.8351,0.000133167,1.30451,1.25947,28.5765,4.57866e-06,1.68019,0.76339,5.92225,1.54075
66.5948,54.5847,120.359,0.043463,2.52436,2.39244,104.66,0.00100907,14.2636,13.5967,91.8349,0.000133167,1.30523,1.26057,28.4661,4.57866e-06,1.68186,0.763391,5.94297,1.54076
66.5948,54.5847,120.359,0.043463,2.52417,2.39245,104.544,0.00100907,14.2636,13.5967,91.8345,0.000133167,1.30503,1.26058,28.35,4.57866e-06,1.68364,0.763392,5.96531,1.54076
66.5948,54.5847,120.359,0.043463,2.52621,2.39419,104.768,0.00100907,14.2636,13.5967,91.8347,0.000133167,1.30708,1.26232,28.574,4.57866e-06,1.68015,0.763391,5.92168,1.54076
66.5948,54.5847,120.36,0.043463,2.52879,2.39648,104.833,0.00100907,14.2636,13.5967,91.8355,0.000133167,1.30966,1.26461,28.6392,4.57866e-06,1.67908,0.763389,5.90838,1.54075
66.5948,54.5847,120.357,0.043463,2.52572,2.39467,104.346,0.00100907,14.2636,13.5967,91.8333,0.000133167,1.30659,1.2628,28.1521,4.57866e-06,1.68663,0.763396,6.00302,1.54078
66.5948,54.5847,120.357,0.043463,2.52602,2.39517,104.246,0.00100907,14.2636,13.5967,91.8333,0.000133167,1.30688,1.26331,28.0527,4.57866e-06,1.68815,0.763396,6.02234,1.54078
66.5948,54.5847,120.358,0.043463,2.52703,2.39575,104.428,0.00100907,14.2636,13.5967,91.8341,0.000133167,1.30789,1.26388,28.2345,4.57866e-06,1.68532,0.763393,5.98649,1.54077
66.5948,54.5847,120.357,0.043463,2.52518,2.39483,103.898,0.00100907,14.2636,13.5967,91.8327,0.000133167,1.30604,1.26296,27.7043,4.57866e-06,1.69357,0.763398,6.09188,1.54079
66.5948,54.5847,120.357,0.043463,2.52594,2.3951,104.04,0.00100907,14.2636,13.5967,91.8334,0.000133167,1.30681,1.26324,27.846,4.57866e-06,1.69136,0.763396,6.0633,1.54078
66.5948,54.5847,120.358,0.043463,2.52855,2.39692,104.635,0.00100907,14.2636,13.5967,91.8344,0.000133167,1.30942,1.26505,28.4413,4.57866e-06,1.6821,0.763392,5.94605,1.54076
66.5948,54.5847,120.357,0.043463,2.52595,2.39563,103.898,0.00100907,14.2636,13.5967,91.8327,0.000133167,1.30681,1.26376,27.7043,4.57866e-06,1.69355,0.763398,6.09157,1.54079
66.5948,54.5847,120.358,0.043463,2.52661,2.39569,104.15,0.00100907,14.2636,13.5967,91.8336,0.000133167,1.30748,1.26382,27.9563,4.57866e-06,1.68963,0.763395,6.04113,1.54077
66.5948,54.5847,120.358,0.043463,2.52841,2.39715,104.357,0.00100907,14.2636,13.5967,91.8339,0.000133167,1.30927,1.26528,28.1637,4.57866e-06,1.68637,0.763394,5.99973,1.54077
