L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
52.406,42.7093,106.245,0.0346907,1.2656,1.19807,94.1833,0.00056581,12.1155,11.4558,85.5025,0.000133167,0.655532,0.636405,18.1395,2.26063e-06,1.90749,0.91572,9.49088,1.69079
52.406,42.7093,106.245,0.0346907,1.26958,1.20219,94.1464,0.00056581,12.1155,11.4558,85.502,0.000133167,0.659514,0.640524,18.1026,2.26063e-06,1.90806,0.915722,9.50495,1.6908
52.406,42.7093,106.245,0.0346907,1.27683,1.20903,94.6591,0.00056581,12.1155,11.4558,85.5027,0.000133167,0.666769,0.647359,18.6153,2.26063e-06,1.89772,0.915719,9.25374,1.69079
52.406,42.7093,106.246,0.0346907,1.2772,1.20934,94.4942,0.00056581,12.1155,11.4558,85.503,0.000133167,0.667136,0.647676,18.4503,2.26063e-06,1.90093,0.915718,9.33063,1.69079
52.406,42.7093,106.244,0.0346907,1.27481,1.20774,94.0253,0.00056581,12.1155,11.4558,85.5014,0.000133167,0.664741,0.646068,17.9815,2.26063e-06,1.91024,0.915724,9.55933,1.69081
52.406,42.7093,106.244,0.0346907,1.27513,1.20829,93.9407,0.00056581,12.1155,11.4558,85.5013,0.000133167,0.665062,0.646622,17.8969,2.26063e-06,1.9119,0.915725,9.60099,1.69081
52.406,42.7093,106.244,0.0346907,1.275,1.20829,93.8516,0.00056581,12.1155,11.4558,85.501,0.000133167,0.664939,0.646623,17.8078,2.26063e-06,1.91367,0.915726,9.64577,1.69082
52.406,42.7093,106.244,0.0346907,1.27609,1.20919,94.0234,0.00056581,12.1155,11.4558,85.5011,0.000133167,0.666022,0.647519,17.9796,2.26063e-06,1.91022,0.915726,9.55892,1.69081
52.406,42.7093,106.244,0.0346907,1.27744,1.21036,94.0731,0.00056581,12.1155,11.4558,85.5018,0.000133167,0.667374,0.648695,18.0293,2.26063e-06,1.90919,0.915723,9.53308,1.6908
52.406,42.7093,106.243,0.0346907,1.27554,1.20906,93.8715,0.00056581,12.1155,11.4558,85.5005,0.000133167,0.665472,0.647389,17.8277,2.26063e-06,1.91325,0.915729,9.6351,1.69083
52.406,42.7093,106.243,0.0346907,1.27606,1.20986,93.6887,0.00056581,12.1155,11.4558,85.5001,0.000133167,0.665998,0.648189,17.6449,2.26063e-06,1.91686,0.91573,9.72733,1.69083
52.406,42.7093,106.244,0.0346907,1.2779,1.21091,94.1905,0.00056581,12.1155,11.4558,85.5014,0.000133167,0.667838,0.649241,18.1467,2.26063e-06,1.90685,0.915724,9.47513,1.69081
52.406,42.7093,106.243,0.0346907,1.27601,1.20974,93.6887,0.00056581,12.1155,11.4558,85.5003,0.000133167,0.66594,0.648067,17.6449,2.26063e-06,1.91686,0.91573,9.72743,1.69083
52.406,42.7093,106.243,0.0346907,1.27429,1.20824,93.6237,0.00056581,12.1155,11.4558,85.4999,0.000133167,0.664225,0.646572,17.5799,2.26063e-06,1.91822,0.915731,9.76256,1.69083
52.406,42.7093,106.243,0.0346907,1.27664,1.2101,93.9645,0.00056581,12.1155,11.4558,85.5008,0.000133167,0.666578,0.648436,17.9207,2.26063e-06,1.91136,0.915727,9.58744,1.69082
52.406,42.7093,106.243,0.0346907,1.27563,1.20969,93.4847,0.00056581,12.1155,11.4558,85.4999,0.000133167,0.665568,0.648026,17.4409,2.26063e-06,1.92094,0.915731,9.83345,1.69083
52.406,42.7093,106.243,0.0346907,1.27571,1.20956,93.5586,0.00056581,12.1155,11.4558,85.5002,0.000133167,0.665648,0.647887,17.5148,2.26063e-06,1.91946,0.91573,9.7949,1.69083
52.406,42.7093,106.243,0.0346907,1.27653,1.21023,93.7193,0.00056581,12.1155,11.4558,85.5003,0.000133167,0.666468,0.648565,17.6754,2.26063e-06,1.91623,0.915729,9.71125,1.69083
52.406,42.7093,106.243,0.0346907,1.276,1.2099,93.5368,0.00056581,12.1155,11.4558,85.5,0.000133167,0.665938,0.648235,17.493,2.26063e-06,1.91989,0.915731,9.80592,1.69083
52.406,42.7093,106.243,0.0346907,1.27591,1.20983,93.7192,0.00056581,12.1155,11.4558,85.5001,0.000133167,0.665843,0.648158,17.6754,2.26063e-06,1.91625,0.915731,9.7118,1.69083
52.406,42.7093,106.242,0.0346907,1.2758,1.20992,93.2392,0.00056581,12.1155,11.4558,85.4998,0.000133167,0.665738,0.648253,17.1953,2.26063e-06,1.92586,0.915732,9.96369,1.69084
52.406,42.7093,106.242,0.0346907,1.27488,1.20907,93.4977,0.00056581,12.1155,11.4558,85.4995,0.000133167,0.664812,0.647398,17.4539,2.26063e-06,1.92071,0.915733,9.82738,1.69084
