1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.002931,0.001914,0.008357,0.001991,0.000793,-0.010321,-0.029485,-0.014688,0.493717,0.629205,0.643909,0.650933,0.652793,0.662259,0.699260,0.650122
-0.013428,-0.012395,0.008923,-0.008310,-0.000268,-0.020319,-0.033395,-0.013101,0.443647,0.580280,0.587332,0.605993,0.615580,0.630929,0.691611,0.646626
-0.023132,-0.014806,0.005046,-0.020164,-0.003221,-0.026047,-0.036102,-0.012413,0.435748,0.551053,0.558155,0.582957,0.586275,0.607980,0.685785,0.643969
-0.014008,-0.020415,-0.001884,-0.029976,-0.003225,-0.030215,-0.039918,-0.011567,0.443206,0.539212,0.543060,0.576140,0.567651,0.591300,0.682595,0.640790
-0.013463,-0.028723,-0.006117,-0.035676,-0.005872,-0.034438,-0.043376,-0.009548,0.457293,0.532224,0.533770,0.578189,0.554806,0.578105,0.680730,0.637449
-0.013159,-0.028599,-0.006268,-0.045431,-0.008874,-0.038469,-0.047243,-0.009297,0.468610,0.528468,0.527982,0.580446,0.545400,0.567986,0.680276,0.633290
-0.014951,-0.029903,-0.009177,-0.053091,-0.010436,-0.041274,-0.051472,-0.009138,0.464837,0.526409,0.526547,0.578611,0.539079,0.560638,0.681260,0.630775
-0.016537,-0.034045,-0.009188,-0.055631,-0.012295,-0.045238,-0.054067,-0.006524,0.469583,0.525481,0.524512,0.575079,0.535009,0.554596,0.681206,0.626196
-0.014578,-0.028658,-0.011426,-0.060039,-0.014033,-0.048951,-0.056734,-0.006920,0.475038,0.524686,0.523632,0.572998,0.533648,0.551235,0.680092,0.624900
-0.015339,-0.035657,-0.015189,-0.062892,-0.016334,-0.051718,-0.059054,-0.003541,0.478359,0.527184,0.521388,0.569662,0.532166,0.548106,0.682085,0.620963
-0.012729,-0.037074,-0.016864,-0.065349,-0.020959,-0.053768,-0.061953,-0.001630,0.475864,0.527209,0.520845,0.568276,0.532075,0.545083,0.683086,0.617171
-0.025172,-0.037123,-0.015459,-0.063459,-0.020819,-0.055845,-0.064393,-0.002361,0.476971,0.528316,0.523110,0.565788,0.532942,0.544180,0.684056,0.614000
-0.009994,-0.040054,-0.015362,-0.067073,-0.022401,-0.058432,-0.066986,0.000056,0.475840,0.531690,0.522661,0.568753,0.535098,0.543970,0.683879,0.610446
-0.007871,-0.040198,-0.016113,-0.069750,-0.023390,-0.059769,-0.067567,-0.001107,0.480865,0.533275,0.523774,0.570214,0.536449,0.544483,0.683396,0.609797
-0.010094,-0.040662,-0.014890,-0.071453,-0.022868,-0.060827,-0.070838,0.000344,0.485870,0.534617,0.521991,0.575833,0.538529,0.542804,0.686247,0.605343
-0.014938,-0.042254,-0.022253,-0.074066,-0.025680,-0.062317,-0.071694,0.002557,0.487367,0.535346,0.524655,0.581446,0.539492,0.543999,0.683209,0.603530
-0.014753,-0.038319,-0.020047,-0.080137,-0.027281,-0.064086,-0.073347,0.002385,0.486164,0.535594,0.523431,0.587193,0.540844,0.543427,0.684599,0.602868
-0.023936,-0.040913,-0.021296,-0.084215,-0.028072,-0.064764,-0.074249,0.003122,0.486795,0.539744,0.523085,0.592071,0.541250,0.544314,0.685486,0.601229
-0.016367,-0.043591,-0.022139,-0.085236,-0.028286,-0.065740,-0.075151,0.004295,0.491154,0.540970,0.521918,0.597671,0.542227,0.546086,0.684656,0.601283
-0.018023,-0.040190,-0.023512,-0.089374,-0.029904,-0.069403,-0.075149,0.003869,0.484920,0.541850,0.522230,0.597288,0.541389,0.550402,0.684871,0.598931
-0.017105,-0.042296,-0.025973,-0.085774,-0.029825,-0.071386,-0.076381,0.003940,0.491132,0.541332,0.521979,0.593710,0.541012,0.550546,0.685089,0.598487
-0.016288,-0.047225,-0.025834,-0.087086,-0.028490,-0.068605,-0.079313,0.003697,0.489614,0.545475,0.523775,0.594803,0.540277,0.551138,0.686488,0.597944
