L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
71.4967,62.3288,104.16,0.0279302,0.777209,0.743229,88.4939,0.000249752,14.4342,13.8175,80.868,0.000137167,0.334588,0.32923,12.5177,1.20642e-06,2.04842,0.774836,13.9909,1.69008
71.4967,62.3288,104.16,0.0279302,0.7791,0.745182,88.4622,0.000249752,14.4342,13.8175,80.8676,0.000137167,0.336478,0.331183,12.486,1.20642e-06,2.04906,0.774838,14.0206,1.69009
71.4967,62.3288,104.16,0.0279302,0.782464,0.748286,88.9023,0.000249752,14.4342,13.8175,80.8681,0.000137167,0.339842,0.334287,12.9261,1.20642e-06,2.03894,0.774836,13.5602,1.69008
71.4967,62.3288,104.16,0.0279302,0.782699,0.748436,88.7606,0.000249752,14.4342,13.8175,80.8683,0.000137167,0.340077,0.334437,12.7844,1.20642e-06,2.04213,0.774835,13.7026,1.69008
71.4967,62.3288,104.159,0.0279302,0.781358,0.747676,88.3583,0.000249752,14.4342,13.8175,80.8672,0.000137167,0.338736,0.333677,12.3821,1.20642e-06,2.05131,0.774839,14.127,1.69009
71.4967,62.3288,104.159,0.0279302,0.781411,0.747912,88.2858,0.000249752,14.4342,13.8175,80.8671,0.000137167,0.33879,0.333914,12.3096,1.20642e-06,2.05296,0.774839,14.2056,1.69009
71.4967,62.3288,104.159,0.0279302,0.781321,0.747908,88.2095,0.000249752,14.4342,13.8175,80.8669,0.000137167,0.3387,0.333909,12.2333,1.20642e-06,2.05471,0.77484,14.2897,1.6901
71.4967,62.3288,104.159,0.0279302,0.781852,0.748318,88.3567,0.000249752,14.4342,13.8175,80.867,0.000137167,0.33923,0.334319,12.3805,1.20642e-06,2.05132,0.77484,14.1275,1.6901
71.4967,62.3288,104.159,0.0279302,0.782513,0.748854,88.3996,0.000249752,14.4342,13.8175,80.8675,0.000137167,0.339891,0.334856,12.4234,1.20642e-06,2.05032,0.774838,14.08,1.69009
71.4967,62.3288,104.159,0.0279302,0.781428,0.748229,88.2267,0.000249752,14.4342,13.8175,80.8665,0.000137167,0.338807,0.33423,12.2505,1.20642e-06,2.05431,0.774841,14.2702,1.6901
71.4967,62.3288,104.158,0.0279302,0.781609,0.748584,88.0699,0.000249752,14.4342,13.8175,80.8663,0.000137167,0.338987,0.334585,12.0937,1.20642e-06,2.05789,0.774842,14.4449,1.69011
71.4967,62.3288,104.159,0.0279302,0.782672,0.749094,88.5004,0.000249752,14.4342,13.8175,80.8672,0.000137167,0.340051,0.335095,12.5242,1.20642e-06,2.04801,0.774839,13.972,1.69009
71.4967,62.3288,104.158,0.0279302,0.781605,0.748535,88.0699,0.000249752,14.4342,13.8175,80.8664,0.000137167,0.338983,0.334536,12.0937,1.20642e-06,2.05789,0.774842,14.445,1.69011
71.4967,62.3288,104.158,0.0279302,0.780746,0.74785,88.0141,0.000249752,14.4342,13.8175,80.8661,0.000137167,0.338124,0.333851,12.0379,1.20642e-06,2.05921,0.774842,14.5101,1.69011
71.4967,62.3288,104.159,0.0279302,0.781978,0.748713,88.3065,0.000249752,14.4342,13.8175,80.8668,0.000137167,0.339357,0.334714,12.3303,1.20642e-06,2.05246,0.77484,14.1815,1.6901
71.4967,62.3288,104.158,0.0279302,0.781327,0.748496,87.8951,0.000249752,14.4342,13.8175,80.8662,0.000137167,0.338705,0.334497,11.9189,1.20642e-06,2.06192,0.774842,14.6458,1.69011
71.4967,62.3288,104.158,0.0279302,0.781433,0.748446,87.9584,0.000249752,14.4342,13.8175,80.8663,0.000137167,0.338812,0.334447,11.9822,1.20642e-06,2.06046,0.774842,14.5725,1.69011
71.4967,62.3288,104.158,0.0279302,0.781843,0.748759,88.0963,0.000249752,14.4342,13.8175,80.8665,0.000137167,0.339221,0.33476,12.1201,1.20642e-06,2.05727,0.774841,14.4146,1.6901
71.4967,62.3288,104.158,0.0279302,0.781538,0.748601,87.9398,0.000249752,14.4342,13.8175,80.8662,0.000137167,0.338916,0.334602,11.9636,1.20642e-06,2.06088,0.774842,14.5936,1.69011
71.4967,62.3288,104.158,0.0279302,0.781481,0.748565,88.0963,0.000249752,14.4342,13.8175,80.8663,0.000137167,0.338859,0.334566,12.1201,1.20642e-06,2.05729,0.774842,14.4153,1.69011
