epoch,average loss,accuracy
0.000000,72.665581,42.630001
1.000000,63.529598,51.770000
2.000000,58.344921,57.959999
3.000000,55.717171,59.020000
4.000000,47.077553,67.139999
5.000000,41.192879,71.889999
6.000000,40.265965,72.389999
7.000000,40.098335,72.980003
8.000000,36.140091,75.559998
9.000000,35.734398,76.320000
10.000000,36.302181,75.680000
11.000000,34.832283,76.930000
12.000000,36.805355,75.430000
13.000000,32.994678,78.389999
14.000000,32.153866,78.870003
15.000000,30.656851,80.010002
16.000000,32.022373,78.709999
17.000000,31.498869,79.800003
18.000000,29.589296,80.750000
19.000000,29.717020,80.470001
20.000000,30.603735,79.830002
21.000000,30.330563,80.150002
22.000000,30.794020,79.379997
23.000000,28.044151,81.930000
24.000000,28.943539,80.870003
25.000000,32.619648,78.050003
26.000000,27.463293,82.019997
27.000000,28.862829,81.059998
28.000000,26.571257,83.050003
29.000000,29.619326,80.279999
30.000000,28.458879,80.790001
31.000000,28.548923,80.790001
