L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
75.3393,64.96,52.3981,0.0286898,1.37609,1.31335,81.2208,0.000412439,4.83043,4.73087,29.1062,0.000137167,0.56081,0.547383,5.24457,1.20642e-06,2.19718,0.956909,29.0301,4.7694
75.3393,64.96,52.3978,0.0286898,1.38053,1.31784,81.2152,0.000412439,4.83043,4.73087,29.1058,0.000137167,0.565248,0.551882,5.23904,1.20642e-06,2.19709,0.956911,29.0146,4.76945
75.3393,64.96,52.3983,0.0286898,1.38785,1.3249,81.2921,0.000412439,4.83043,4.73087,29.1063,0.000137167,0.572562,0.558936,5.31585,1.20642e-06,2.1947,0.956908,28.6042,4.76938
75.3393,64.96,52.3985,0.0286898,1.38825,1.32522,81.2673,0.000412439,4.83043,4.73087,29.1065,0.000137167,0.57297,0.559259,5.29112,1.20642e-06,2.19533,0.956907,28.7111,4.76936
75.3393,64.96,52.3974,0.0286898,1.38608,1.32363,81.1971,0.000412439,4.83043,4.73087,29.1054,0.000137167,0.570799,0.55767,5.22091,1.20642e-06,2.19726,0.956912,29.0456,4.76949
75.3393,64.96,52.3973,0.0286898,1.38649,1.32422,81.1844,0.000412439,4.83043,4.73087,29.1053,0.000137167,0.571208,0.558262,5.20824,1.20642e-06,2.19757,0.956913,29.099,4.76951
75.3393,64.96,52.3971,0.0286898,1.38642,1.32424,81.1711,0.000412439,4.83043,4.73087,29.1052,0.000137167,0.571135,0.558274,5.19493,1.20642e-06,2.19792,0.956914,29.1606,4.76953
75.3393,64.96,52.3972,0.0286898,1.38745,1.32515,81.1968,0.000412439,4.83043,4.73087,29.1052,0.000137167,0.572164,0.559183,5.22063,1.20642e-06,2.1972,0.956913,29.0337,4.76952
75.3393,64.96,52.3976,0.0286898,1.38877,1.32634,81.2043,0.000412439,4.83043,4.73087,29.1057,0.000137167,0.573487,0.560381,5.22812,1.20642e-06,2.19693,0.956911,28.988,4.76947
75.3393,64.96,52.3967,0.0286898,1.387,1.32503,81.1741,0.000412439,4.83043,4.73087,29.1048,0.000137167,0.571716,0.559069,5.19792,1.20642e-06,2.19781,0.956916,29.1405,4.76958
