L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
134.654,116.853,86.9523,0.0445082,5.13991,4.90189,91.964,0.00125389,8.31516,8.15644,42.4048,0.000137167,2.14268,2.06753,15.7627,4.71416e-06,1.80563,0.544814,9.23357,3.13234
134.651,116.85,86.9516,0.0445082,5.15538,4.9175,91.9568,0.00125389,8.3122,8.15348,42.404,0.000137167,2.15815,2.08314,15.7555,4.71416e-06,1.80521,0.544824,9.22257,3.1327
134.652,116.852,86.9526,0.0445082,5.18224,4.94374,92.0571,0.00125389,8.31431,8.1556,42.405,0.000137167,2.18501,2.10938,15.8558,4.71416e-06,1.8025,0.544817,9.15234,3.13242
134.654,116.854,86.9529,0.0445082,5.18408,4.94539,92.0249,0.00125389,8.31603,8.15732,42.4054,0.000137167,2.18685,2.11102,15.8235,4.71416e-06,1.80301,0.544811,9.16544,3.13222
134.648,116.848,86.9508,0.0445082,5.17351,4.93619,91.9331,0.00125389,8.31004,8.15132,42.4033,0.000137167,2.17628,2.10183,15.7318,4.71416e-06,1.80498,0.544832,9.21651,3.13297
134.647,116.846,86.9506,0.0445082,5.17415,4.93726,91.9166,0.00125389,8.30822,8.14951,42.4031,0.000137167,2.17692,2.1029,15.7152,4.71416e-06,1.80524,0.544839,9.22336,3.13317
134.647,116.847,86.9503,0.0445082,5.17318,4.9365,91.8992,0.00125389,8.30844,8.14973,42.4027,0.000137167,2.17595,2.10214,15.6978,4.71416e-06,1.80558,0.544838,9.23218,3.13317
134.648,116.848,86.9504,0.0445082,5.17756,4.94059,91.9327,0.00125389,8.30981,8.1511,42.4029,0.000137167,2.18033,2.10623,15.7314,4.71416e-06,1.80484,0.544834,9.2128,3.13301
134.648,116.848,86.9513,0.0445082,5.18273,4.94546,91.9425,0.00125389,8.30997,8.15126,42.4037,0.000137167,2.1855,2.1111,15.7412,4.71416e-06,1.80448,0.544832,9.20367,3.13295
134.646,116.846,86.949,0.0445082,5.17492,4.93903,91.8695,0.00125389,8.30793,8.14921,42.4015,0.000137167,2.17769,2.10467,15.6682,4.71416e-06,1.80603,0.544842,9.24393,3.13329
134.646,116.846,86.949,0.0445082,5.17538,4.9397,91.8546,0.00125389,8.3074,8.14868,42.4015,0.000137167,2.17815,2.10533,15.6533,4.71416e-06,1.80627,0.544844,9.25031,3.13334
134.647,116.847,86.9499,0.0445082,5.17785,4.94172,91.8819,0.00125389,8.30864,8.14992,42.4023,0.000137167,2.18062,2.10736,15.6805,4.71416e-06,1.80571,0.544838,9.2356,3.13317
134.646,116.846,86.9484,0.0445082,5.17363,4.93843,91.8024,0.00125389,8.30752,8.1488,42.4008,0.000137167,2.1764,2.10407,15.6011,4.71416e-06,1.80725,0.544844,9.276,3.13336
134.644,116.843,86.9491,0.0445082,5.17504,4.93933,91.8237,0.00125389,8.30518,8.14646,42.4016,0.000137167,2.17781,2.10497,15.6223,4.71416e-06,1.80683,0.544851,9.26502,3.13357
134.651,116.85,86.9502,0.0445082,5.18083,4.9443,91.9129,0.00125389,8.31205,8.15334,42.4026,0.000137167,2.1836,2.10994,15.7115,4.71416e-06,1.80506,0.544827,9.21873,3.13279
134.645,116.844,86.9484,0.0445082,5.17455,4.9394,91.8024,0.00125389,8.30618,8.14747,42.4009,0.000137167,2.17732,2.10504,15.6011,4.71416e-06,1.80721,0.544849,9.27512,3.1335
134.645,116.845,86.9488,0.0445082,5.17636,4.94078,91.8258,0.00125389,8.30643,8.14772,42.4012,0.000137167,2.17913,2.10641,15.6244,4.71416e-06,1.80674,0.544847,9.26276,3.13346
134.645,116.845,86.9488,0.0445082,5.17431,4.93884,91.83,0.00125389,8.30644,8.14772,42.4013,0.000137167,2.17709,2.10448,15.6287,4.71416e-06,1.80674,0.544847,9.26263,3.13345
134.645,116.844,86.9484,0.0445082,5.1729,4.93788,91.8083,0.00125389,8.30616,8.14745,42.4009,0.000137167,2.17567,2.10352,15.607,4.71416e-06,1.80717,0.544849,9.27384,3.13351
134.648,116.847,86.9491,0.0445082,5.17679,4.94114,91.8691,0.00125389,8.30922,8.15051,42.4015,0.000137167,2.17956,2.10678,15.6678,4.71416e-06,1.80596,0.544838,9.24226,3.13315
