L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
78.7237,64.9943,70.9288,0.045268,4.74091,4.50287,91.9564,0.00166336,8.48994,8.29946,42.4048,0.000133167,2.122,2.04683,15.7627,4.57866e-06,1.81997,0.859004,9.25274,3.11553
78.7204,64.991,70.9281,0.045268,4.75537,4.51756,91.9491,0.00166336,8.48662,8.29614,42.404,0.000133167,2.13645,2.06151,15.7555,4.57866e-06,1.81958,0.859033,9.24259,3.11591
78.7219,64.9926,70.9291,0.045268,4.7824,4.54389,92.0495,0.00166336,8.48818,8.29771,42.405,0.000133167,2.16348,2.08785,15.8558,4.57866e-06,1.81683,0.859017,9.17194,3.1157
78.7233,64.9939,70.9294,0.045268,4.78387,4.54528,92.0172,0.00166336,8.48949,8.29901,42.4054,0.000133167,2.16495,2.08923,15.8235,4.57866e-06,1.81735,0.859005,9.18538,3.11554
78.719,64.9897,70.9273,0.045268,4.77355,4.53626,91.9254,0.00166336,8.48527,8.29479,42.4033,0.000133167,2.15463,2.08021,15.7318,4.57866e-06,1.81935,0.859047,9.23649,3.11609
78.7181,64.9888,70.9271,0.045268,4.77436,4.53745,91.9089,0.00166336,8.48437,8.29389,42.4031,0.000133167,2.15544,2.0814,15.7152,4.57866e-06,1.81961,0.859055,9.24322,3.1162
78.7179,64.9885,70.9268,0.045268,4.77342,4.53671,91.8915,0.00166336,8.48413,8.29365,42.4027,0.000133167,2.1545,2.08066,15.6978,4.57866e-06,1.81995,0.859059,9.25206,3.11624
78.7183,64.989,70.9269,0.045268,4.77786,4.54085,91.9251,0.00166336,8.48455,8.29407,42.4029,0.000133167,2.15894,2.0848,15.7314,4.57866e-06,1.81919,0.859055,9.23254,3.11619
78.7182,64.9889,70.9278,0.045268,4.78299,4.54569,91.9349,0.00166336,8.48448,8.294,42.4037,0.000133167,2.16408,2.08964,15.7412,4.57866e-06,1.81884,0.859052,9.22341,3.11616
78.7171,64.9877,70.9255,0.045268,4.77558,4.53953,91.8618,0.00166336,8.4833,8.29282,42.4015,0.000133167,2.15666,2.08348,15.6682,4.57866e-06,1.82039,0.85907,9.26353,3.1164
78.7164,64.987,70.9255,0.045268,4.77598,4.54015,91.847,0.00166336,8.48263,8.29215,42.4015,0.000133167,2.15706,2.0841,15.6533,4.57866e-06,1.82064,0.859076,9.26999,3.11647
78.7168,64.9875,70.9264,0.045268,4.77844,4.54217,91.8742,0.00166336,8.48309,8.29261,42.4023,0.000133167,2.15953,2.08612,15.6805,4.57866e-06,1.82007,0.859069,9.25522,3.11638
78.7171,64.9877,70.9249,0.045268,4.77413,4.53879,91.7948,0.00166336,8.48329,8.29281,42.4008,0.000133167,2.15521,2.08274,15.6011,4.57866e-06,1.82164,0.859073,9.29588,3.11643
78.7149,64.9856,70.9256,0.045268,4.77558,4.53975,91.816,0.00166336,8.48118,8.2907,42.4016,0.000133167,2.15666,2.0837,15.6223,4.57866e-06,1.82121,0.859087,9.28481,3.11662
78.7197,64.9903,70.9267,0.045268,4.78128,4.54465,91.9052,0.00166336,8.48593,8.29545,42.4026,0.000133167,2.16236,2.0886,15.7115,4.57866e-06,1.81942,0.859045,9.2384,3.11606
78.7158,64.9864,70.9249,0.045268,4.77516,4.53986,91.7948,0.00166336,8.48203,8.29155,42.4009,0.000133167,2.15624,2.08381,15.6011,4.57866e-06,1.8216,0.859083,9.29489,3.11656
78.7169,64.9875,70.9258,0.045268,4.77682,4.54091,91.8325,0.00166336,8.48312,8.29264,42.4018,0.000133167,2.1579,2.08486,15.6389,4.57866e-06,1.82087,0.859071,9.27596,3.1164
78.7179,64.9886,70.9261,0.045268,4.78054,4.5443,91.8636,0.00166336,8.48415,8.29367,42.4021,0.000133167,2.16162,2.08825,15.67,4.57866e-06,1.82019,0.859061,9.25818,3.11628
78.7141,64.9848,70.9246,0.045268,4.77276,4.53764,91.83,0.00166336,8.48036,8.28988,42.4006,0.000133167,2.15384,2.08159,15.6363,4.57866e-06,1.82105,0.859097,9.28059,3.11676
78.7144,64.985,70.925,0.045268,4.77609,4.54069,91.8279,0.00166336,8.48061,8.29013,42.401,0.000133167,2.15718,2.08464,15.6342,4.57866e-06,1.82097,0.859094,9.27857,3.11671
78.7147,64.9853,70.9247,0.045268,4.77449,4.53928,91.7948,0.00166336,8.4809,8.29042,42.4007,0.000133167,2.15557,2.08324,15.6011,4.57866e-06,1.82162,0.859093,9.29548,3.11669
78.7139,64.9845,70.9248,0.045268,4.77405,4.5387,91.8219,0.00166336,8.4801,8.28962,42.4008,0.000133167,2.15513,2.08265,15.6282,4.57866e-06,1.82115,0.859099,9.28327,3.11677
78.7158,64.9864,70.9253,0.045268,4.77562,4.54013,91.8151,0.00166336,8.48202,8.29154,42.4013,0.000133167,2.1567,2.08408,15.6215,4.57866e-06,1.82122,0.859081,9.28501,3.11654
78.7152,64.9858,70.9252,0.045268,4.77581,4.54032,91.8007,0.00166336,8.48143,8.29095,42.4012,0.000133167,2.15689,2.08427,15.607,4.57866e-06,1.82147,0.859086,9.29159,3.11661
78.7118,64.9824,70.9247,0.045268,4.77189,4.53701,91.7862,0.00166336,8.47801,8.28753,42.4006,0.000133167,2.15297,2.08096,15.5926,4.57866e-06,1.82186,0.859116,9.30177,3.117
78.7143,64.985,70.9256,0.045268,4.77402,4.5384,91.8504,0.00166336,8.48058,8.2901,42.4015,0.000133167,2.1551,2.08235,15.6567,4.57866e-06,1.82065,0.859092,9.27013,3.11668
78.7152,64.9858,70.9256,0.045268,4.77425,4.53861,91.8483,0.00166336,8.48143,8.29095,42.4016,0.000133167,2.15534,2.08256,15.6546,4.57866e-06,1.82068,0.859085,9.27089,3.11659
78.7124,64.983,70.9242,0.045268,4.77106,4.53629,91.8028,0.00166336,8.47862,8.28814,42.4002,0.000133167,2.15215,2.08025,15.6092,4.57866e-06,1.82159,0.859113,9.2947,3.11696
78.7147,64.9854,70.9257,0.045268,4.7778,4.54203,91.8589,0.00166336,8.48099,8.29051,42.4016,0.000133167,2.15888,2.08598,15.6652,4.57866e-06,1.82036,0.859088,9.2627,3.11663
78.7126,64.9833,70.9246,0.045268,4.77194,4.53697,91.7803,0.00166336,8.47888,8.2884,42.4005,0.000133167,2.15302,2.08092,15.5866,4.57866e-06,1.82197,0.859109,9.30454,3.11691
78.7137,64.9844,70.9251,0.045268,4.77469,4.53947,91.7969,0.00166336,8.47998,8.2895,42.4011,0.000133167,2.15577,2.08342,15.6032,4.57866e-06,1.82158,0.859099,9.29431,3.11677
78.713,64.9836,70.9248,0.045268,4.77524,4.54012,91.8173,0.00166336,8.47924,8.28876,42.4007,0.000133167,2.15632,2.08407,15.6236,4.57866e-06,1.82119,0.859106,9.28419,3.11687
