L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
102.773,88.9203,66.8876,0.0354779,2.57571,2.45647,84.5562,0.000701222,6.2959,6.16639,34.6982,0.000137167,1.05779,1.02507,8.50871,2.32753e-06,2.05719,0.713108,17.4121,3.9105
102.77,88.9174,66.8871,0.0354779,2.58323,2.46408,84.5502,0.000701222,6.29294,6.16343,34.6976,0.000137167,1.06531,1.03268,8.50268,2.32753e-06,2.05698,0.713126,17.3971,3.91103
102.771,88.919,66.8878,0.0354779,2.59641,2.47688,84.634,0.000701222,6.29505,6.16555,34.6984,0.000137167,1.07848,1.04547,8.58649,2.32753e-06,2.05446,0.713115,17.2188,3.91062
102.773,88.9207,66.8881,0.0354779,2.59733,2.47768,84.6071,0.000701222,6.29678,6.16727,34.6986,0.000137167,1.07941,1.04628,8.55954,2.32753e-06,2.05504,0.713105,17.2595,3.91031
102.768,88.9152,66.8866,0.0354779,2.592,2.47319,84.5304,0.000701222,6.29078,6.16127,34.6971,0.000137167,1.07408,1.04179,8.48287,2.32753e-06,2.05702,0.713139,17.4003,3.91143
102.766,88.9134,66.8864,0.0354779,2.59226,2.47371,84.5166,0.000701222,6.28897,6.15946,34.6969,0.000137167,1.07433,1.0423,8.46903,2.32753e-06,2.05732,0.71315,17.4218,3.91175
102.766,88.9136,66.8861,0.0354779,2.59176,2.47333,84.502,0.000701222,6.28918,6.15968,34.6967,0.000137167,1.07383,1.04193,8.45448,2.32753e-06,2.05768,0.713149,17.4472,3.91173
102.767,88.915,66.8862,0.0354779,2.59393,2.47533,84.5301,0.000701222,6.29055,6.16105,34.6968,0.000137167,1.076,1.04393,8.48255,2.32753e-06,2.05694,0.713141,17.3942,3.9115
102.768,88.9151,66.8869,0.0354779,2.59649,2.47771,84.5382,0.000701222,6.29071,6.16121,34.6974,0.000137167,1.07856,1.0463,8.4907,2.32753e-06,2.05664,0.713139,17.3727,3.91142
102.766,88.9131,66.8852,0.0354779,2.59251,2.47456,84.4772,0.000701222,6.28867,6.15916,34.6958,0.000137167,1.07458,1.04316,8.42964,2.32753e-06,2.0582,0.713155,17.485,3.9119
