1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001374,-0.000818,-0.000184,-0.000904,-0.000586,-0.000378,-0.000012,-0.000049,0.028058,0.015285,0.015143,0.015192,0.013773,0.010515,0.004145,0.010036
-0.002116,0.001918,0.001291,0.000605,0.000165,0.000105,0.000011,-0.000110,0.032894,0.022592,0.021734,0.015929,0.011898,0.014099,0.006383,0.007462
-0.000723,0.001425,0.000915,0.001266,0.000382,0.000673,0.000018,-0.000171,0.032173,0.016943,0.017853,0.018062,0.018656,0.015316,0.006641,0.008099
0.003581,-0.001371,-0.000372,-0.000308,-0.000037,0.000282,0.000009,0.000092,0.033837,0.020737,0.020042,0.014399,0.013089,0.015795,0.006427,0.007176
-0.000796,-0.000289,-0.000910,-0.001581,-0.000347,-0.000609,-0.000037,0.000171,0.029609,0.017680,0.019776,0.018661,0.013012,0.015963,0.007844,0.011287
-0.001718,0.000451,0.000014,0.000405,-0.000328,0.000058,-0.000018,0.000055,0.030971,0.014128,0.020995,0.014646,0.014748,0.012349,0.007724,0.006905
-0.004069,-0.000737,-0.000110,-0.000145,-0.000042,0.000276,0.000015,0.000159,0.026269,0.017340,0.012173,0.016682,0.015617,0.012495,0.008623,0.011388
-0.001736,0.000136,0.000019,0.000038,0.000271,0.000632,0.000100,0.000140,0.028399,0.022975,0.017735,0.019436,0.020601,0.016734,0.009741,0.011304
-0.005570,-0.001518,0.000037,-0.000274,0.000062,0.000345,-0.000008,0.000165,0.032121,0.019064,0.014381,0.016754,0.014022,0.013525,0.009391,0.011896
0.002966,0.001434,-0.000184,0.000851,0.000084,0.000052,-0.000002,-0.000464,0.031725,0.019733,0.020983,0.016283,0.015059,0.012735,0.009191,0.011904
-0.005932,-0.002096,-0.000828,-0.000500,-0.000042,-0.000337,-0.000031,-0.000159,0.027704,0.024390,0.019779,0.015695,0.018683,0.015454,0.007987,0.009804
0.001085,0.000898,-0.000378,0.000058,-0.000017,0.000067,0.000013,-0.000098,0.030205,0.019281,0.021979,0.015650,0.015628,0.011841,0.010244,0.012414
-0.005498,0.000584,0.000279,0.000652,0.000237,0.000033,-0.000016,0.000562,0.034013,0.016869,0.017982,0.019043,0.016673,0.013634,0.007949,0.011342
-0.001266,0.000605,0.000210,-0.000010,0.000204,-0.000161,-0.000005,0.000543,0.029707,0.017857,0.022167,0.016623,0.020452,0.016805,0.008130,0.012326
0.000235,-0.001579,0.000148,-0.000304,0.000082,0.000181,-0.000010,-0.000140,0.030242,0.018973,0.021044,0.016340,0.019353,0.013888,0.008238,0.010892
-0.001700,0.001130,0.000053,-0.000602,-0.000259,0.000169,0.000043,-0.000067,0.029686,0.020704,0.017963,0.019268,0.015825,0.018398,0.007553,0.007739
-0.003111,-0.000106,-0.000817,0.000612,0.000074,0.000271,0.000016,-0.000006,0.028992,0.019977,0.023541,0.019500,0.015169,0.016806,0.008509,0.010822
0.003255,0.001456,0.000014,0.000335,0.000245,0.000083,0.000016,0.000006,0.032611,0.023085,0.021066,0.017874,0.021584,0.017396,0.006485,0.010752
0.001610,-0.000518,0.000343,-0.000386,-0.000009,-0.000242,0.000015,0.000281,0.028782,0.025762,0.020630,0.020599,0.019282,0.016789,0.007060,0.011845
0.000922,-0.000288,0.000162,0.000610,-0.000184,-0.000148,0.000031,0.000378,0.033359,0.018751,0.023035,0.020122,0.014610,0.013311,0.008793,0.010868
0.001754,0.000873,-0.000311,0.000675,0.000008,0.000181,0.000073,-0.000500,0.035366,0.017378,0.021019,0.016193,0.013825,0.015649,0.006914,0.012250
0.002948,0.001050,0.000269,0.000402,0.000349,0.000271,0.000045,0.000446,0.029949,0.022040,0.020691,0.019322,0.015666,0.016588,0.007009,0.010121
-0.001827,-0.001022,-0.000341,0.000174,-0.000185,-0.000007,-0.000006,0.000085,0.028887,0.024843,0.021917,0.020361,0.014287,0.012020,0.006660,0.011322
-0.001628,-0.003378,-0.000272,-0.000178,0.000063,-0.000238,-0.000051,-0.000195,0.033820,0.025017,0.021079,0.018515,0.020122,0.017930,0.009027,0.010517
-0.000940,-0.000624,-0.000181,-0.000035,-0.000505,0.000057,0.000035,-0.000061,0.023994,0.020403,0.023759,0.014108,0.017737,0.016075,0.006134,0.010036
0.003816,-0.000945,0.000312,-0.000254,0.000406,-0.000101,-0.000004,-0.000146,0.029469,0.018358,0.022259,0.020974,0.020767,0.014818,0.007813,0.011587
-0.001628,-0.000710,-0.000493,0.000049,-0.000980,-0.000268,-0.000035,0.000073,0.024838,0.020498,0.020207,0.019493,0.019495,0.018726,0.006233,0.011014
0.004105,-0.000092,0.000953,0.000660,-0.000051,0.000132,-0.000022,0.000006,0.031865,0.025195,0.022509,0.021362,0.015448,0.015512,0.007116,0.007489
0.000651,0.001058,-0.000044,0.000284,0.000290,-0.000148,0.000014,-0.000305,0.029151,0.022690,0.020903,0.016565,0.021145,0.016063,0.007659,0.011045
-0.003689,-0.000287,-0.001056,-0.000050,-0.000264,-0.000319,0.000004,0.000073,0.033455,0.023371,0.021455,0.012839,0.016126,0.017774,0.006541,0.007308
-0.000109,-0.000206,0.000437,-0.000280,0.000006,-0.000067,0.000045,0.000421,0.029390,0.019706,0.023737,0.015172,0.018060,0.013028,0.007513,0.011793
-0.001320,0.000776,0.000550,0.000400,0.000061,0.000049,-0.000043,0.000061,0.033716,0.020578,0.018205,0.015331,0.011885,0.012552,0.008896,0.011816
